,id,from,to,date,upcoming,season,marketValue,fee
0,342209,162,347,"Jul 1, 2020",False,20/21,€2.80m,€4.50m
1,342209,347,162,"Jun 30, 2020",False,19/20,€2.80m,End of loan
2,342209,162,347,"Jul 1, 2019",False,19/20,€4.00m,loan transfer
3,342209,9668,162,"Jul 1, 2016",False,16/17,,
4,342209,9669,9668,"Jul 1, 2015",False,15/16,,
5,342209,45617,9669,"Jul 1, 2013",False,13/14,,
0,628834,8179,347,"Jul 7, 2022",False,22/23,€100k,
1,628834,6498,8179,"Aug 25, 2021",False,21/22,,?
2,628834,75,6498,"Jul 1, 2017",False,17/18,,?
0,591914,855,347,"Jun 30, 2023",False,22/23,€500k,End of loan
1,591914,347,855,"Aug 2, 2022",False,22/23,€800k,loan transfer
2,591914,13222,347,"Jun 30, 2022",False,21/22,€800k,End of loan
3,591914,347,13222,"Jan 28, 2022",False,21/22,€1.20m,loan transfer
4,591914,1095,347,"Jul 23, 2020",False,20/21,€300k,€1.00m
5,591914,10846,1095,"Jul 1, 2018",False,18/19,,
0,855308,8179,347,"Jan 25, 2023",False,22/23,,
1,855308,10849,8179,"Jul 1, 2022",False,22/23,,
2,855308,46608,10849,"Jul 1, 2020",False,20/21,,
3,855308,99634,46608,"Jul 1, 2019",False,19/20,,free transfer
0,919621,2715,8179,"Jun 30, 2024",True,23/24,€150k,End of loan
1,919621,8179,2715,"Jul 11, 2023",False,23/24,€50k,loan transfer
2,919621,46608,8179,"Jul 1, 2021",False,21/22,,
0,738720,347,2715,"Aug 31, 2022",False,22/23,€300k,?
1,738720,2715,347,"Jun 30, 2022",False,21/22,€300k,End of loan
2,738720,347,2715,"Jul 2, 2021",False,21/22,,loan transfer
3,738720,8179,347,"Jul 1, 2021",False,21/22,,
4,738720,10849,8179,"Jul 1, 2019",False,19/20,,
0,919620,8179,347,"Aug 31, 2023",False,23/24,€250k,
1,919620,46608,8179,"Jul 1, 2021",False,21/22,,
0,918969,8179,347,"Jul 1, 2023",False,23/24,€200k,
1,918969,30031,8179,"Feb 10, 2023",False,22/23,,?
2,918969,22419,30031,"Nov 1, 2019",False,19/20,,?
0,506009,347,9168,"Jan 31, 2023",False,22/23,€1.00m,€1.50m
1,506009,349,347,"Apr 26, 2022",False,21/22,€1.80m,End of loan
2,506009,347,349,"Jan 31, 2022",False,21/22,€1.80m,loan transfer
3,506009,1159,347,"Jul 1, 2021",False,21/22,€2.00m,free transfer
4,506009,10840,1159,"Jul 1, 2017",False,17/18,,
5,506009,41389,10840,"Jul 1, 2015",False,15/16,,free transfer
6,506009,90600,41389,"Jul 1, 2014",False,14/15,,free transfer
0,481116,347,2727,"Aug 29, 2023",False,23/24,€1.50m,€1.50m
1,481116,2715,347,"Jun 30, 2022",False,21/22,€1.80m,End of loan
2,481116,347,2715,"Jul 19, 2021",False,21/22,€800k,loan transfer
3,481116,8179,347,"Jul 1, 2020",False,20/21,€725k,
4,481116,1164,8179,"Jun 30, 2020",False,19/20,€725k,End of loan
5,481116,8179,1164,"Jul 1, 2019",False,19/20,€300k,loan transfer
6,481116,26871,8179,"Jun 30, 2019",False,18/19,€300k,End of loan
7,481116,8179,26871,"Jul 11, 2018",False,18/19,,loan transfer
8,481116,10849,8179,"Jul 1, 2017",False,17/18,,
9,481116,46608,10849,"Jul 1, 2015",False,15/16,,
10,481116,45903,46608,"Jul 1, 2013",False,13/14,,free transfer
11,481116,42622,45903,"Jul 1, 2011",False,11/12,,free transfer
0,568702,7124,347,"Jun 30, 2024",True,23/24,€800k,End of loan
1,568702,347,7124,"Jul 27, 2023",False,23/24,€1.20m,loan transfer
2,568702,1095,347,"Jun 30, 2023",False,22/23,€1.20m,End of loan
3,568702,347,1095,"Aug 25, 2022",False,22/23,€2.00m,loan transfer
4,568702,30031,347,"Jul 1, 2019",False,19/20,,?
5,568702,27872,30031,"Oct 27, 2017",False,17/18,,?
0,568696,7124,347,"Jun 30, 2022",False,21/22,€900k,End of loan
1,568696,347,7124,"Jan 24, 2022",False,21/22,€1.00m,loan transfer
2,568696,3166,347,"Jun 30, 2021",False,20/21,€1.00m,End of loan
3,568696,347,3166,"Sep 30, 2020",False,20/21,€500k,loan transfer
4,568696,3166,347,"Jun 30, 2020",False,19/20,€150k,End of loan
5,568696,347,3166,"Jul 19, 2019",False,19/20,€150k,loan transfer
6,568696,30031,347,"Jul 1, 2018",False,18/19,,free transfer
0,1099726,8179,347,"Jul 1, 2023",False,23/24,€150k,
1,1099726,30031,347,"Feb 10, 2023",False,22/23,,?
2,1099726,118439,30031,"Jul 1, 2020",False,20/21,,?
0,512690,2715,347,"Feb 7, 2024",False,23/24,€300k,End of loan
1,512690,347,2715,"Aug 8, 2023",False,23/24,€50k,loan transfer
2,512690,8179,347,"Jul 1, 2022",False,22/23,€50k,
3,512690,2715,8179,"Jun 30, 2022",False,21/22,€50k,End of loan
4,512690,8179,2715,"Jan 13, 2022",False,21/22,,loan transfer
5,512690,10849,8179,"Jul 1, 2021",False,21/22,,
6,512690,46608,10849,"Jul 1, 2019",False,19/20,,
0,366045,2715,347,"Jun 30, 2022",False,21/22,€800k,End of loan
1,366045,347,2715,"Aug 20, 2020",False,20/21,€525k,loan transfer
2,366045,1147,347,"Jun 30, 2020",False,19/20,€525k,End of loan
3,366045,347,1147,"Sep 2, 2019",False,19/20,€600k,loan transfer
4,366045,30031,347,"Jul 11, 2017",False,17/18,,?
5,366045,2871,30031,"Jul 1, 2016",False,16/17,,?
0,568701,347,10004,"Jul 5, 2023",False,23/24,€1.00m,?
1,568701,10004,347,"Jun 30, 2022",False,21/22,€2.00m,End of loan
2,568701,347,10004,"Jan 25, 2022",False,21/22,€3.00m,loan transfer
3,568701,30031,347,"Jul 1, 2020",False,20/21,€200k,?
4,568701,3166,30031,"Jun 30, 2020",False,19/20,€200k,End of loan
5,568701,30031,3166,"Jul 1, 2018",False,18/19,,loan transfer
0,511401,162,1035,"Aug 3, 2023",False,23/24,€800k,free transfer
1,511401,467,162,"Jun 30, 2023",False,22/23,€800k,End of loan
2,511401,162,467,"Jan 4, 2023",False,22/23,€900k,loan transfer
3,511401,347,162,"Jan 3, 2023",False,22/23,€900k,End of loan
4,511401,162,347,"Aug 29, 2022",False,22/23,€1.20m,loan transfer
5,511401,306,162,"Jun 30, 2022",False,21/22,€1.20m,End of loan
6,511401,162,306,"Aug 31, 2021",False,21/22,€2.20m,loan transfer
7,511401,520,162,"Jun 30, 2021",False,20/21,€2.20m,End of loan
8,511401,162,520,"Aug 24, 2020",False,20/21,€2.50m,loan transfer
9,511401,467,162,"Jul 1, 2020",False,20/21,€2.50m,€2.50m
10,511401,7463,467,"Jul 1, 2019",False,19/20,,
11,511401,7465,7463,"Jul 1, 2018",False,18/19,,free transfer
12,511401,45691,7465,"Jul 1, 2017",False,17/18,,
13,511401,32805,45691,"Jul 1, 2016",False,16/17,,
14,511401,32800,32805,"Jul 1, 2014",False,14/15,,free transfer
15,511401,81860,32800,"Jul 1, 2009",False,09/10,,free transfer
0,353211,515,7154,"Jan 10, 2024",False,23/24,€600k,
1,353211,347,515,"Sep 2, 2023",False,23/24,€650k,
2,353211,2715,347,"Jun 30, 2023",False,22/23,€650k,End of loan
3,353211,347,2715,"Sep 6, 2022",False,22/23,€1.50m,loan transfer
4,353211,321,347,"Jun 30, 2022",False,21/22,€1.50m,End of loan
5,353211,347,321,"Aug 30, 2021",False,21/22,€3.50m,loan transfer
6,353211,618,347,"Jul 2, 2020",False,20/21,€1.60m,€3.00m
7,353211,1159,618,"Jun 30, 2020",False,19/20,€1.60m,End of loan
8,353211,618,1159,"Jul 25, 2019",False,19/20,€800k,loan transfer
9,353211,8515,618,"Jul 1, 2019",False,19/20,€800k,
10,353211,1159,8515,"Jun 30, 2019",False,18/19,€800k,End of loan
11,353211,8515,1159,"Jan 4, 2019",False,18/19,€150k,loan transfer
12,353211,2424,8515,"Jul 1, 2017",False,17/18,€150k,free transfer
13,353211,15567,2424,"Jul 1, 2015",False,15/16,,
0,815359,347,1290,"Jul 20, 2023",False,23/24,€400k,?
1,815359,26863,347,"Jul 1, 2021",False,21/22,,?
2,815359,16676,26863,"Jul 1, 2020",False,20/21,,free transfer
3,815359,86229,16676,"Jul 1, 2019",False,19/20,,free transfer
0,707063,8179,347,"Jul 1, 2023",False,23/24,€150k,
1,707063,30031,8179,"Feb 10, 2023",False,22/23,,?
0,729814,347,610,"Jun 30, 2024",True,23/24,€9.00m,End of loan
1,729814,610,347,"Jan 4, 2024",False,23/24,€8.00m,loan transfer
2,729814,347,610,"Aug 30, 2023",False,23/24,€10.00m,€16.00m
3,729814,2715,347,"Jun 30, 2022",False,21/22,€2.20m,End of loan
4,729814,347,2715,"Aug 30, 2021",False,21/22,€1.20m,loan transfer
5,729814,2715,347,"Jun 30, 2021",False,20/21,€1.20m,End of loan
6,729814,347,2715,"Jul 2, 2020",False,20/21,,loan transfer
7,729814,8179,347,"Jul 1, 2020",False,20/21,,
8,729814,10849,8179,"Jul 1, 2018",False,18/19,,
9,729814,108376,10849,"Jul 6, 2017",False,17/18,,free transfer
10,729814,69570,108376,"Jul 1, 2015",False,15/16,,free transfer
0,124884,1090,3911,"Aug 4, 2021",False,21/22,€5.00m,€5.00m
1,124884,1184,1090,"Jul 1, 2017",False,17/18,€1.20m,free transfer
2,124884,202,1184,"Jul 1, 2014",False,14/15,€1.50m,€1.50m
3,124884,8817,202,"Jul 1, 2012",False,12/13,€150k,€125k
4,124884,133,8817,"Jun 30, 2012",False,11/12,€150k,End of loan
5,124884,8817,133,"Jul 1, 2011",False,11/12,,loan transfer
6,124884,2824,8817,"Jul 1, 2009",False,09/10,,
7,124884,51645,2824,"Jul 1, 2008",False,08/09,,
0,668996,928,3938,"Jun 30, 2024",True,23/24,€375k,End of loan
1,668996,3938,928,"Aug 14, 2023",False,23/24,€400k,loan transfer
2,668996,3911,3938,"Jun 30, 2023",False,22/23,€400k,End of loan
3,668996,3938,3911,"Jul 27, 2022",False,22/23,€375k,loan transfer
4,668996,55574,3938,"Sep 1, 2020",False,20/21,€300k,
5,668996,10200,55574,"Jan 13, 2020",False,19/20,€300k,End of loan
6,668996,55574,10200,"Jan 30, 2019",False,18/19,,loan transfer
7,668996,20031,55574,"Jan 1, 2018",False,17/18,,
0,525155,1416,3911,"Jul 5, 2021",False,21/22,€200k,free transfer
1,525155,16671,1416,"Jul 1, 2020",False,20/21,€150k,
2,525155,3161,16671,"Aug 13, 2019",False,19/20,€150k,free transfer
3,525155,18008,3161,"Jul 1, 2017",False,17/18,,
4,525155,16037,18008,"Apr 1, 2016",False,15/16,,
0,485960,273,3911,"Jul 1, 2021",False,21/22,€2.50m,€1.75m
1,485960,3911,273,"Jun 30, 2021",False,20/21,€2.50m,End of loan
2,485960,273,3911,"Oct 5, 2020",False,20/21,€1.50m,loan transfer
3,485960,8154,273,"Jul 1, 2020",False,20/21,€625k,
4,485960,1423,8154,"Jun 30, 2020",False,19/20,€625k,End of loan
5,485960,8154,1423,"Jul 1, 2019",False,19/20,,loan transfer
6,485960,7874,8154,"Jul 1, 2016",False,16/17,,
0,250779,10838,3911,"Jun 30, 2016",False,15/16,€250k,End of loan
