,competitionID,clubID,seasonID,competitionName,appearances,yellowCards,goalsConceded,cleanSheets,minutesPlayed,redCards,id,assists,goals,secondYellowCards
0,FR1,347,2023,Ligue 1,27,2,43,6,2.358',,56809,,,
1,FRC,347,2023,Coupe de France,1,,1,,90',,56809,,,
2,FR2,347,2022,Ligue 2,34,1,21,17,2.938',2,56809,,,
3,FRC,347,2022,Coupe de France,3,,3,1,270',,56809,,,
4,FR1,347,2021,Ligue 1,21,2,39,3,1.877',1,56809,,,
5,FRC,347,2021,Coupe de France,,,,,,,56809,,,
6,FR1,347,2020,Ligue 1,34,2,38,8,3.060',1,56809,,,
7,FRC,347,2020,Coupe de France,1,,,1,90',,56809,,,
8,FR1,347,2019,Ligue 1,27,3,31,8,2.385',,56809,,,
9,FRC,347,2019,Coupe de France,,,,,,,56809,,,
10,FRL,347,2019,Coupe de la Ligue,,,,,,,56809,,,
11,FR2,347,2018,Ligue 2,38,1,23,19,3.398',,56809,,,
12,FRC,347,2018,Coupe de France,,,,,,,56809,,,
13,FRL,347,2018,Coupe de la Ligue,,1,,,,,56809,,,
14,FR1,667,2017,Ligue 1,17,1,29,3,1.458',,56809,,,
15,FRC,667,2017,Coupe de France,2,,2,1,210',,56809,,,
16,FRL,667,2017,Coupe de la Ligue,2,,4,,188',,56809,,,
17,FR2,667,2016,Ligue 2,36,2,44,12,3.240',,56809,,,
18,FRC,667,2016,Coupe de France,,,,,,,56809,,,
19,FRL,667,2016,Coupe de la Ligue,,,,,,,56809,,,
20,FR3,667,2015,Championnat National,34,2,19,21,3.060',,56809,,,
21,FRC,667,2015,Coupe de France,1,,,,60',,56809,,,
22,FR3,667,2014,Championnat National,22,2,15,9,1.980',,56809,,,
23,FRC,667,2014,Coupe de France,2,,1,,180',,56809,,,
24,EBEL,29228,2013,Endrunde Jupiler Pro League,6,1,6,2,540',,56809,,,
25,BE2,29228,2013,Belgacom League,33,2,25,14,2.970',1,56809,,,
26,EBEL,29228,2012,Endrunde Jupiler Pro League,6,1,9,1,540',,56809,,,
27,BE2,29228,2012,Belgacom League,31,6,24,12,2.771',1,56809,,,
28,FR3,8728,2011,Championnat National,13,1,22,1,1.170',,56809,,,
29,FR1,1082,2010,Ligue 1,,,,,,,56809,,,
30,EL,1082,2010,Europa League,,,,,,,56809,,,
31,ELQ,1082,2010,Europa League Qualifying,,,,,,,56809,,,
32,FR1,1082,2009,Ligue 1,,,,,,,56809,,,
33,EL,1082,2009,Europa League,,,,,,,56809,,,
34,ELQ,1082,2009,Europa League Qualifying,,,,,,,56809,,,
35,FR1,1082,2008,Ligue 1,,,,,,,56809,,,
36,FR1,1082,2007,Ligue 1,,,,,,,56809,,,
37,FR2,1397,2005,Ligue 2,1,,2,,44',,56809,,,
0,C3GE,8179,2023,National 3 - Grp. I,4,,5,1,360',,205465,,,
1,CN2B,8179,2022,National 2 - Grp. B,2,,3,,180',,205465,,,
2,FR2,347,2022,Ligue 2,2,1,4,,120',,205465,,,
3,FR1,347,2021,Ligue 1,19,1,30,6,1.540',,205465,,,
4,FRC,347,2021,Coupe de France,1,,,1,90',,205465,,,
5,FR1,347,2020,Ligue 1,5,1,10,1,360',,205465,,,
6,FRC,347,2020,Coupe de France,2,,1,1,180',,205465,,,
7,CN2B,8179,2020,National 2 - Grp. B,1,,,1,90',,205465,,,
8,FR2,855,2019,Ligue 2,22,,25,7,1.980',,205465,,,
9,FRL,855,2019,Coupe de la Ligue,,,,,,,205465,,,
10,FR1,855,2018,Ligue 1,21,,34,6,1.890',,205465,,,
11,FRL,855,2018,Coupe de la Ligue,4,,,4,390',,205465,,,
12,FRC,855,2018,Coupe de France,1,,2,,90',,205465,,,
13,FR1,855,2017,Ligue 1,,,,,,,205465,,,
14,FRC,855,2017,Coupe de France,,,,,,,205465,,,
15,FRL,855,2017,Coupe de la Ligue,1,,1,,44',,205465,,,
16,FR2,3524,2016,Ligue 2,17,,21,4,1.484',,205465,,,
17,FRC,3524,2016,Coupe de France,3,,1,1,270',,205465,,,
18,FRL,3524,2016,Coupe de la Ligue,3,,4,,270',,205465,,,
19,FR2,3524,2015,Ligue 2,9,,14,1,672',,205465,,,
20,FRC,3524,2015,Coupe de France,2,,1,,180',,205465,,,
21,FRL,3524,2015,Coupe de la Ligue,2,,4,,180',,205465,,,
22,FR1,162,2014,Ligue 1,,,,,,,205465,,,
23,FR1,162,2013,Ligue 1,,,,,,,205465,,,
24,FR2,162,2012,Ligue 2,,,,,,,205465,,,
25,FRL,162,2012,Coupe de la Ligue,,,,,,,205465,,,
26,FR2,162,2011,Ligue 2,,,,,,,205465,,,
0,FR3,3525,2023,Championnat National,14,1,20,3,1.260',,666975,,,
1,FRC,3525,2023,Coupe de France,,,,,,,666975,,,
2,FR2,347,2022,Ligue 2,5,,8,1,359',,666975,,,
3,CN2B,8179,2022,National 2 - Grp. B,2,,1,1,180',,666975,,,
4,FRC,347,2022,Coupe de France,,,,,,,666975,,,
5,FR1,347,2021,Ligue 1,,,,,,,666975,,,
6,CN2B,8179,2021,National 2 - Grp. B,15,2,15,5,1.290',1,666975,,,
7,FRC,347,2020,Coupe de France,,,,,,,666975,,,
8,FR1,347,2020,Ligue 1,,,,,,,666975,,,
9,F19B,10849,2020,National U19 - Grp. B,3,,4,1,270',,666975,,,
0,C3GE,8179,2023,National 3 - Grp. I,15,2,25,2,1.350',,928873,,,
1,CN2B,8179,2022,National 2 - Grp. B,13,,23,2,1.125',,928873,,,
2,F19B,10849,2022,National U19 - Grp. B,5,,8,1,388',1,928873,,,
3,FR2,347,2022,Ligue 2,,,,,,,928873,,,
4,CN2B,8179,2021,National 2 - Grp. B,4,,9,1,322',1,928873,,,
5,F19B,10849,2021,National U19 - Grp. B,13,,16,6,1.170',,928873,,,
0,FR1,969,2023,Ligue 1,20,5,,,1.749',1,211637,2,,
1,FR1,969,2022,Ligue 1,15,5,,,1.259',,211637,,,
2,FR2,347,2022,Ligue 2,12,5,,,943',1,211637,,,
3,FRC,347,2022,Coupe de France,3,,,,101',,211637,,,
4,FR1,347,2021,Ligue 1,30,8,,,2.666',1,211637,,1,
5,FRC,347,2021,Coupe de France,1,,,,90',,211637,,,
6,FR1,347,2020,Ligue 1,25,10,,,1.960',,211637,,1,
7,FRC,347,2020,Coupe de France,3,,,,270',,211637,,,
8,CN2B,8179,2020,National 2 - Grp. B,1,,,,90',,211637,,,
9,FR2,1095,2019,Ligue 2,18,6,,,1.409',,211637,,5,
10,FRL,1095,2019,Coupe de la Ligue,1,1,,,90',,211637,,1,
11,FRR1,1095,2018,Rel. Ligue 1,,,,,,,211637,,,
12,FR2,1095,2018,Ligue 2,12,3,,,642',,211637,,1,
13,PT23,67909,2018,Liga Revelação,1,,,,90',,211637,,,
14,PO2,10949,2017,Ledman LigaPro,12,2,,,1.006',1,211637,,,
15,POPO,336,2017,Taça de Portugal,,,,,,,211637,,,
16,PO2,10949,2016,Ledman LigaPro,33,4,,,2.857',,211637,1,,1
17,MAR1,4697,2015,Botola Pro Inwi,16,,,,1.230',,211637,,2,
0,FR1,347,2023,Ligue 1,21,3,,,1.573',,520530,2,,
1,FR2,347,2022,Ligue 2,38,4,,,3.353',,520530,,1,
2,FRC,347,2022,Coupe de France,2,1,,,180',,520530,,,
3,FR1,347,2021,Ligue 1,11,2,,,975',,520530,2,,
4,PO1,7378,2021,Liga Bwin,16,5,,,1.315',,520530,3,1,
5,POPO,7378,2021,Taça de Portugal,1,,,,120',,520530,,,
6,POCP,7378,2021,Allianz Cup,1,,,,90',,520530,,,
7,PO1,7378,2020,Liga NOS,22,5,,,1.360',,520530,,2,
8,POPO,7378,2020,Taça de Portugal,1,,,,90',,520530,,,
9,PO1,7378,2019,Liga NOS,9,2,,,622',,520530,,,
10,PT23,67731,2019,Liga Revelação,28,3,,,2.292',2,520530,,,
11,PO1,7378,2018,Liga NOS,,,,,,,520530,,,
12,PT23,67731,2018,Liga Revelação,1,,,,25',,520530,,,
0,FR1,347,2023,Ligue 1,20,,,,1.688',,57216,,1,
1,FRC,347,2023,Coupe de France,1,,,,90',,57216,,,
2,FR2,347,2022,Ligue 2,30,2,,,2.557',,57216,1,,
3,FRC,347,2022,Coupe de France,3,,,,270',,57216,,,
4,FR1,1420,2021,Ligue 1,37,1,,,3.215',,57216,1,4,
5,FR1,1420,2020,Ligue 1,34,3,,,2.994',,57216,3,3,
6,FRC,1420,2020,Coupe de France,,,,,,,57216,,,
7,FR1,1420,2019,Ligue 1,23,4,,,2.053',,57216,,,
8,FRC,1420,2019,Coupe de France,,,,,,,57216,,,
9,CN2B,16672,2019,National 2 - Grp. B,1,,,,90',,57216,,,
10,FR1,1420,2018,Ligue 1,30,2,,,2.636',1,57216,2,3,
11,FRC,1420,2018,Coupe de France,1,,,,34',,57216,,,
12,FR1,1420,2017,Ligue 1,32,2,,,2.857',,57216,1,3,
13,FRC,1420,2016,Coupe de France,3,1,,,270',,57216,,,
14,FR1,1420,2016,Ligue 1,32,3,,,2.812',,57216,1,1,
15,FR1,1420,2015,Ligue 1,34,2,,,2.959',1,57216,,1,
16,FRC,1420,2015,Coupe de France,2,,,,180',,57216,,1,
17,FR2,3911,2014,Ligue 2,36,3,,,3.201',1,57216,,1,
18,FRC,3911,2014,Coupe de France,4,,,,315',,57216,,,
19,FRL,3911,2014,Coupe de la Ligue,,,,,,,57216,,,
20,FR2,3911,2013,Ligue 2,30,1,,,2.610',,57216,,,
21,FRC,3911,2013,Coupe de France,3,,,,255',,57216,,,
22,FRL,3911,2013,Coupe de la Ligue,1,,,,90',,57216,,,
23,FR1,3911,2012,Ligue 1,17,,,,1.174',,57216,,,
24,FRC,3911,2012,Coupe de France,1,,,,90',,57216,,,
25,FRL,3911,2012,Coupe de la Ligue,1,,,,90',,57216,,,
26,FR2,1081,2011,Ligue 2,34,3,,,2.952',,57216,1,1,
27,FRC,1081,2011,Coupe de France,3,,,,278',,57216,,,
28,FRL,1081,2011,Coupe de la Ligue,3,1,,,255',,57216,,,
29,FR2,1081,2010,Ligue 2,34,1,,,2.998',1,57216,,,
30,FRC,1081,2010,Coupe de France,1,,,,120',,57216,,,
31,FRL,1081,2010,Coupe de la Ligue,1,,,,120',,57216,,,
32,FR2,1081,2009,Ligue 2,34,5,,,3.010',,57216,1,,
33,FRL,1081,2009,Coupe de la Ligue,5,,,,480',,57216,,,
34,FRC,1081,2009,Coupe de France,4,,,,334',,57216,,,
35,FR2,1081,2008,Ligue 2,24,3,,,2.070',,57216,,1,
36,FRC,1081,2008,Coupe de France,3,,,,300',,57216,,,
37,FRL,1081,2008,Coupe de la Ligue,1,,,,90',,57216,,,
38,FR2,1081,2007,Ligue 2,28,3,,,2.490',,57216,,,
39,FRC,1081,2007,Coupe de France,6,,,,600',,57216,,,
40,FRL,1081,2007,Coupe de la Ligue,1,,,,59',1,57216,,,
41,FR1,1081,2006,Ligue 1,,,,,,,57216,,,
42,FRC,1081,2005,Coupe de France,1,,,,90',,57216,,,
0,FR1,347,2023,Ligue 1,3,,,,156',1,739076,,,
1,C3GE,8179,2023,National 3 - Grp. I,6,1,,,540',,739076,,,
2,FRC,347,2023,Coupe de France,,,,,,,739076,,,
3,FR2,347,2022,Ligue 2,5,,,,12',,739076,,,
4,CN2B,8179,2022,National 2 - Grp. B,3,2,,,270',,739076,,,
5,FR3,3525,2021,Championnat National,28,3,,,2.426',1,739076,,6,
6,FRC,3525,2021,Coupe de France,3,,,,270',,739076,,,
7,BE2,2715,2020,1B Pro League,,,,,,,739076,,,
8,C3GE,8179,2019,N3 - Grand Est,13,3,,,1.164',,739076,,,
9,FRC,347,2019,Coupe de France,,,,,,,739076,,,
10,CAFC,30031,2018,CAF Confederation Cup,1,,,,90',,739076,,,
11,CAFC,30031,2017,CAF Confederation Cup,1,,,,44',,739076,,,
0,BE2,2715,2023,Challenger Pro League,22,3,,,1.806',,950892,2,,
1,CCB,2715,2023,Croky Cup,1,,,,90',,950892,,,
2,CN2B,8179,2022,National 2 - Grp. B,16,4,,,1.348',1,950892,,,
3,FRC,347,2022,Coupe de France,,,,,,,950892,,,
4,CN2B,8179,2021,National 2 - Grp. B,11,1,,,861',,950892,,,
5,F19B,10849,2021,National U19 - Grp. B,18,,,,1.512',,950892,,,
6,F19B,10849,2020,National U19 - Grp. B,7,,,,630',,950892,,,
0,FR1,347,2023,Ligue 1,25,3,,,2.250',,344886,3,3,
1,FR2,347,2022,Ligue 2,38,2,,,3.411',,344886,5,3,
2,FRC,347,2022,Coupe de France,3,,,,260',,344886,,,
3,FR1,347,2021,Ligue 1,12,,,,1.007',,344886,,1,
4,FR1,347,2020,Ligue 1,25,1,,,1.721',1,344886,3,,
5,FRC,347,2020,Coupe de France,2,,,,180',,344886,,,
6,FR1,347,2019,Ligue 1,13,3,,,1.102',,344886,1,,
7,FRL,347,2019,Coupe de la Ligue,1,,,,90',,344886,,,
8,C3GE,8179,2019,N3 - Grand Est,1,,,,61',,344886,,,
9,FR2,347,2018,Ligue 2,5,,,,343',,344886,1,,
10,FRL,347,2018,Coupe de la Ligue,,,,,,,344886,,,
11,FR1,347,2017,Ligue 1,6,,,,353',,344886,,,
12,FR1,347,2016,Ligue 1,3,,,,270',,344886,,,
13,FR2,347,2015,Ligue 2,8,1,,,720',,344886,,,
14,BE2,2715,2015,Proximus League,12,,,,971',,344886,,3,
15,FRC,347,2014,Coupe de France,,,,,,,344886,,,
0,IT1,276,2023,Serie A,4,1,,,213',,384859,,,
1,FRC,995,2023,Coupe de France,2,1,,,25',,384859,,,
2,FR1,995,2023,Ligue 1,3,1,,,92',,384859,,,
3,FR1,995,2022,Ligue 1,23,4,,,1.689',,384859,,,
4,FRC,995,2022,Coupe de France,5,,,,406',,384859,2,,
5,EL,995,2022,Europa League,2,,,,180',,384859,,,
6,FR2,347,2022,Ligue 2,3,,,,157',,384859,,,1
7,FR1,347,2021,Ligue 1,19,3,,,1.586',,384859,1,4,
8,FR1,347,2020,Ligue 1,36,9,,,3.222',,384859,,1,
9,FRC,347,2020,Coupe de France,3,,,,238',,384859,,1,
10,FR1,347,2019,Ligue 1,28,3,,,2.520',,384859,3,,
11,FRC,347,2019,Coupe de France,1,,,,90',,384859,,,
12,FRL,347,2019,Coupe de la Ligue,1,,,,90',,384859,,,
13,FRR1,826,2018,Rel. Ligue 1,2,2,,,204',,384859,1,,
14,FR2,826,2018,Ligue 2,35,5,,,2.969',1,384859,2,,
15,FRC,826,2018,Coupe de France,2,1,,,180',,384859,,,
16,FRL,826,2018,Coupe de la Ligue,1,,,,120',,384859,1,,
17,FR2,3524,2017,Ligue 2,30,4,,,2.044',1,384859,1,,1
18,FRC,3524,2017,Coupe de France,1,,,,90',,384859,,,
19,FRL,3524,2017,Coupe de la Ligue,1,,,,90',,384859,,,
20,FR2,3524,2016,Ligue 2,29,4,,,1.892',,384859,2,,
21,FRC,3524,2016,Coupe de France,2,,,,180',,384859,,,
22,FRL,3524,2016,Coupe de la Ligue,3,,,,183',,384859,2,1,
23,FR2,14171,2015,Ligue 2,30,3,,,2.243',,384859,,3,2
24,FRC,14171,2015,Coupe de France,3,,,,286',,384859,1,,
25,FRL,14171,2015,Coupe de la Ligue,2,,,,164',,384859,,1,
0,FR1,347,2023,Ligue 1,11,2,,,771',,481513,2,,
1,FRC,347,2023,Coupe de France,1,,,,90',,481513,,,
2,FR2,347,2022,Ligue 2,33,6,,,2.743',,481513,1,1,
3,FRC,347,2022,Coupe de France,3,,,,209',,481513,,,
4,PO1,6912,2021,Liga Bwin,24,10,,,1.894',1,481513,1,2,
5,POPO,6912,2021,Taça de Portugal,2,1,,,126',,481513,,,
6,PO2,6912,2020,Liga Sabseg,24,5,,,1.944',,481513,,2,
7,POPO,6912,2020,Taça de Portugal,1,1,,,120',,481513,,,
8,POPO,6912,2019,Taça de Portugal,1,,,,90',,481513,1,,
9,P2RL,6912,2018,Camp. Portugal Ap. Campeão,2,,,,180',,481513,,,
10,PO2,3329,2018,Ledman LigaPro,6,2,,,460',,481513,1,,
11,POPO,3329,2018,Taça de Portugal,1,1,,,45',,481513,,,
12,POCP,3329,2018,Allianz Cup,,,,,,,481513,,,
13,PO1,979,2017,Liga NOS,9,2,,,433',,481513,,,
14,POPO,979,2017,Taça de Portugal,4,2,,,235',,481513,,,
15,POCP,979,2017,Taça CTT,2,1,,,165',,481513,,,
16,PO2,6912,2016,Ledman LigaPro,7,2,,,630',,481513,2,,
17,POCP,6912,2016,Allianz Cup,1,1,,,90',,481513,,,
0,L2,41,2023,2. Bundesliga,6,3,,,390',,743500,,,
1,RLN3,389,2023,Regionalliga Nord,2,,,,155',,743500,,,
2,DFB,41,2023,DFB-Pokal,2,,,,218',,743500,,,
3,L1PO,41,2022,Bundesliga Playoffs,1,1,,,21',,743500,,,
4,L2,41,2022,2. Bundesliga,6,,,,178',,743500,,,
5,DFB,41,2022,DFB-Pokal,1,,,,16',,743500,,,
6,FR2,347,2022,Ligue 2,5,2,,,421',,743500,,1,
7,FR1,347,2021,Ligue 1,9,,,,614',,743500,1,,
8,CN2B,8179,2021,National 2 - Grp. B,15,3,,,1.307',,743500,1,1,
9,F19B,10849,2021,National U19 - Grp. B,1,,,,90',,743500,,1,
10,FR1,347,2020,Ligue 1,,,,,,,743500,,,
11,FRC,347,2020,Coupe de France,,,,,,,743500,,,
12,F19B,10849,2020,National U19 - Grp. B,4,,,,360',,743500,,,
0,FRC,10004,2023,Coupe de France,1,,,,32',,434358,,,
1,FR2,10004,2023,Ligue 2,12,1,,,930',,434358,1,1,
2,FR1,347,2023,Ligue 1,,,,,,,434358,,,
3,FR2,347,2022,Ligue 2,5,,,,11',,434358,,,
4,FRC,347,2022,Coupe de France,1,,,,61',,434358,,,
5,CN2B,8179,2022,National 2 - Grp. B,1,1,,,90',,434358,,,
6,C1,527,2021,Super League,11,4,,,689',,434358,2,,
7,FR1,347,2021,Ligue 1,4,1,,,154',,434358,,,
8,FRC,347,2021,Coupe de France,1,,,,90',,434358,,,
9,CN2B,8179,2021,National 2 - Grp. B,1,1,,,90',,434358,,,
10,FR1,1160,2020,Ligue 1,22,4,,,1.509',,434358,2,,
11,FR1,1160,2019,Ligue 1,17,3,,,1.405',,434358,,,
12,FRC,1160,2019,Coupe de France,,,,,,,434358,,,
13,FRL,1160,2019,Coupe de la Ligue,1,,,,90',,434358,,,
14,FR1,1160,2018,Ligue 1,25,4,,,1.901',,434358,1,1,
15,FRC,1160,2018,Coupe de France,1,1,,,90',,434358,,,
16,FRL,1160,2018,Coupe de la Ligue,2,,,,172',,434358,,,
17,FR2,1160,2017,Ligue 2,30,2,,,2.385',,434358,3,,
18,FRC,1160,2017,Coupe de France,2,,,,103',,434358,,,
19,FRL,1160,2017,Coupe de la Ligue,1,,,,81',,434358,1,,
20,FR2,1160,2016,Ligue 2,20,3,,,1.695',1,434358,1,,
21,FRC,1160,2016,Coupe de France,1,,,,120',,434358,,,
22,FR2,1160,2015,Ligue 2,1,,,,69',,434358,,,
0,GB1,543,2023,Premier League,16,1,,,406',,649020,,,
1,FAC,543,2023,FA Cup,1,,,,14',,649020,,,
2,CGB,543,2023,EFL Cup,2,1,,,180',,649020,,,
3,GB1,543,2022,Premier League,10,2,,,407',,649020,1,,
4,GB21,24226,2022,Premier League 2,1,,,,45',,649020,,,
5,CGB,543,2022,EFL Cup,1,,,,18',,649020,,1,
6,FR2,347,2022,Ligue 2,3,,,,270',,649020,,,
7,FR1,347,2021,Ligue 1,27,7,,,1.719',,649020,1,1,1
8,FRC,347,2021,Coupe de France,1,,,,16',,649020,,,
9,FR1,347,2020,Ligue 1,2,,,,52',,649020,,1,
10,FRC,347,2020,Coupe de France,,,,,,,649020,,,
11,C3GE,8179,2019,N3 - Grand Est,7,1,,,581',,649020,,1,
12,FR1,347,2019,Ligue 1,,,,,,,649020,,,
13,FRC,347,2019,Coupe de France,,,,,,,649020,,,
14,FRL,347,2019,Coupe de la Ligue,,,,,,,649020,,,
0,UNGP,279,2023,Magyar Kupa,2,,,,151',,293944,,,
1,UNG1,279,2023,NB I.,8,1,,,682',,293944,,1,
2,UCOL,279,2023,Conference League,2,,,,180',,293944,,,
3,FR1,347,2023,Ligue 1,7,,,,142',,293944,,,
4,FR2,347,2022,Ligue 2,31,8,,,2.153',,293944,,1,
5,FRC,347,2022,Coupe de France,2,,,,164',,293944,,,
6,FR1,347,2021,Ligue 1,17,6,,,1.273',,293944,,2,
7,FR1,347,2020,Ligue 1,31,9,,,2.698',,293944,3,1,
8,FRC,347,2020,Coupe de France,3,,,,216',,293944,,,
9,FR1,347,2019,Ligue 1,26,7,,,2.271',,293944,2,1,
10,FRL,347,2019,Coupe de la Ligue,1,,,,29',,293944,,,
11,FR2,347,2018,Ligue 2,16,5,,,1.107',,293944,1,2,
12,FRC,347,2018,Coupe de France,5,2,,,480',,293944,,,
13,FRL,347,2018,Coupe de la Ligue,1,,,,90',,293944,,,
14,RU1,3729,2017,Premier Liga,1,,,,45',,293944,,,
15,FR1,618,2017,Ligue 1,13,2,,,702',,293944,,1,
16,FRC,618,2017,Coupe de France,1,,,,120',,293944,,1,
17,FRL,618,2017,Coupe de la Ligue,,,,,,,293944,,,
18,FR1,618,2016,Ligue 1,5,,,,297',,293944,,,
0,FR1,347,2023,Ligue 1,16,3,,,1.060',,342209,1,,
1,FRC,347,2023,Coupe de France,1,,,,58',,342209,,,
2,FR2,347,2022,Ligue 2,22,3,,,1.546',,342209,,1,
3,CN2B,8179,2022,National 2 - Grp. B,2,,,,150',,342209,,,
4,FRC,347,2022,Coupe de France,2,,,,123',,342209,,,
5,FR1,347,2021,Ligue 1,19,5,,,1.239',,342209,,,
6,FR1,347,2020,Ligue 1,6,,,,307',,342209,,,
7,FR1,347,2019,Ligue 1,20,2,,,1.646',,342209,,,
8,FRC,347,2019,Coupe de France,1,,,,90',,342209,,,
9,FRL,347,2019,Coupe de la Ligue,1,,,,90',,342209,,,
10,CN2A,9668,2018,National 2 - Grp. A,4,1,,,337',,342209,,,
11,FR1,162,2018,Ligue 1,4,2,,,193',,342209,,,
12,CL,162,2018,Champions League,1,,,,90',,342209,,,
13,FRCH,162,2018,Trophée des Champions,,,,,,,342209,,,
14,FR1,162,2017,Ligue 1,11,3,,,719',,342209,,,
15,FRL,162,2017,Coupe de la Ligue,2,,,,91',,342209,1,,
16,FRC,162,2017,Coupe de France,2,1,,,180',,342209,,,
17,CL,162,2017,Champions League,1,,,,90',,342209,,,
18,CN2A,9668,2017,National 2 - Grp. A,2,,,,154',,342209,,,
19,FR1,162,2016,Ligue 1,5,,,,319',,342209,1,,
20,CN2D,9668,2016,CFA - Grp. D,12,5,,,1.047',,342209,,1,
21,FRC,162,2016,Coupe de France,2,1,,,210',,342209,,1,
22,CL,162,2016,Champions League,1,,,,90',,342209,,,
23,FRL,162,2016,Coupe de la Ligue,,,,,,,342209,,,
24,CLQ,162,2016,Champions League Qu.,,,,,,,342209,,,
25,FR1,162,2015,Ligue 1,,,,,,,342209,,,
26,FRC,162,2015,Coupe de France,,,,,,,342209,,,
27,EL,162,2015,Europa League,,,,,,,342209,,,
28,19YL,45508,2014,UEFA Youth League,6,2,,,540',,342209,,,
0,FR1,347,2023,Ligue 1,26,2,,,2.177',,628834,,,
1,FRC,347,2023,Coupe de France,1,,,,32',,628834,,,
2,FR2,347,2022,Ligue 2,31,7,,,2.308',1,628834,3,,
3,FRC,347,2022,Coupe de France,2,1,,,129',,628834,,,
4,CN2B,8179,2021,National 2 - Grp. B,15,,,,1.274',,628834,,,
5,FR1,347,2021,Ligue 1,,,,,,,628834,,,
6,CCC1,6498,2019,Caribbean Champ.,2,1,,,180',,628834,,,
0,C3GE,8179,2023,National 3 - Grp. I,5,,,,436',,591914,,1,
1,FR2,855,2022,Ligue 2,21,1,,,435',,591914,1,1,
2,CN2A,12748,2022,National 2 - Grp. A,1,,,,90',,591914,1,,
3,FRC,855,2022,Coupe de France,2,,,,163',,591914,,,
4,FR2,347,2022,Ligue 2,1,,,,13',,591914,,,1
5,ES2,13222,2021,LaLiga SmartBank,6,,,,52',,591914,,,
6,FR1,347,2021,Ligue 1,9,,,,198',,591914,,,
7,FRC,347,2021,Coupe de France,,,,,,,591914,,,
8,CN2B,8179,2021,National 2 - Grp. B,2,1,,,180',,591914,,,
9,FR1,347,2020,Ligue 1,15,,,,487',,591914,,,
10,FRC,347,2020,Coupe de France,1,,,,90',,591914,,,
11,FR2,1095,2019,Ligue 2,14,1,,,776',,591914,,3,
12,FRC,1095,2019,Coupe de France,1,1,,,90',,591914,,,
13,FRL,1095,2019,Coupe de la Ligue,1,,,,90',,591914,,,
14,FR2,1095,2018,Ligue 2,5,1,,,224',,591914,,,
15,FRL,1095,2018,Coupe de la Ligue,1,,,,90',,591914,,1,
16,CN2A,10846,2015,CFA - Grp. A,10,,,,583',,591914,,2,
0,FR1,347,2023,Ligue 1,15,,,,528',,855308,,1,
1,FRC,347,2023,Coupe de France,1,,,,90',,855308,1,,
2,C3GE,8179,2023,National 3 - Grp. I,3,,,,270',,855308,,2,
3,CN2B,8179,2022,National 2 - Grp. B,11,1,,,676',,855308,,3,
4,FR2,347,2022,Ligue 2,16,1,,,453',,855308,,1,
5,FRC,347,2022,Coupe de France,1,,,,90',,855308,,,
6,CN2B,8179,2021,National 2 - Grp. B,2,,,,179',,855308,2,,
7,F19B,10849,2021,National U19 - Grp. B,3,,,,202',,855308,,3,
8,F19B,10849,2020,National U19 - Grp. B,8,,,,411',,855308,,,
9,FRYC,10849,2019,Coupe Gambardella,1,,,,90',,855308,,,
0,BE2,2715,2023,Challenger Pro League,18,6,,,822',,919621,2,,1
1,CCB,2715,2023,Croky Cup,1,,,,63',,919621,,,
2,CN2B,8179,2022,National 2 - Grp. B,15,4,,,1.215',,919621,,,1
3,FR2,347,2022,Ligue 2,2,,,,4',,919621,,,
4,FRC,347,2022,Coupe de France,1,,,,18',,919621,,,
5,F19B,10849,2022,National U19 - Grp. B,3,1,,,248',,919621,,,
6,CN2B,8179,2021,National 2 - Grp. B,18,2,,,1.019',,919621,,1,
7,F19B,10849,2021,National U19 - Grp. B,9,,,,679',,919621,,1,
0,BE2,2715,2023,Challenger Pro League,26,8,,,2.051',,738720,3,1,
1,CCB,2715,2023,Croky Cup,1,1,,,27',,738720,,,
2,BE1,2715,2022,JPL,25,6,,,1.710',,738720,3,,
3,CCB,2715,2022,Croky Cup,3,1,,,108',,738720,,,
4,FR2,347,2022,Ligue 2,1,,,,,,738720,,,
5,EJPD,2715,2021,Jupiler Pro League Abstiegs-Playoffs,2,,,,36',,738720,,,
6,BE1,2715,2021,JPL,15,1,,,713',1,738720,1,,
7,CCB,2715,2021,Croky Cup,2,1,,,149',,738720,,,
8,CN2B,8179,2020,National 2 - Grp. B,8,1,,,691',,738720,,1,
9,C3GE,8179,2019,N3 - Grand Est,8,,,,447',,738720,,,
10,F19B,10849,2019,National U19 - Grp. B,1,,,,90',,738720,,1,
0,FR1,347,2023,Ligue 1,13,2,,,747',,919620,,,
1,C3GE,8179,2023,National 3 - Grp. I,1,,,,77',,919620,,,
2,FRC,347,2023,Coupe de France,,,,,,,919620,,,
3,CN2B,8179,2022,National 2 - Grp. B,5,1,,,429',,919620,,1,
4,FR2,347,2022,Ligue 2,14,3,,,310',,919620,,,
5,FRC,347,2022,Coupe de France,2,,,,92',,919620,,,
6,CN2B,8179,2021,National 2 - Grp. B,26,1,,,1.891',,919620,1,2,
7,F19B,10849,2021,National U19 - Grp. B,10,,,,863',,919620,,1,
0,FR1,347,2023,Ligue 1,25,3,,,1.885',,918969,3,1,
1,FR2,347,2022,Ligue 2,4,,,,201',1,918969,1,,
0,MLS1,9168,2024,MLS,3,,,,202',,506009,,,
