,id,name,position,dateOfBirth,age,nationality,currentClub,height,foot,joinedOn,signedFrom,marketValue,status,joined,contract
638,543382,Mohamed Camara,Defensive Midfield,"Jan 6, 2000",23,Mali,AS Monaco,"1,73m",right,"Jan 29, 2020",Red Bull Salzburg,€30.00m,Knee injury - Return unknown,,
639,569598,Youssouf Fofana,Central Midfield,"Jan 10, 1999",24,France,AS Monaco,"1,85m",right,"Jul 1, 2020",RC Strasbourg Alsace,€25.00m,,,
640,535834,Eliot Matazo,Central Midfield,"Feb 15, 2002",21,Belgium,Royal Antwerp FC,"1,70m",right,"Aug 2, 2021",AS Monaco B,€7.00m,,,
641,578872,Jean Lucas,Central Midfield,"Jun 22, 1998",25,Brazil,Esporte Clube Bahia,"1,81m",right,"Jul 1, 2023",: Ablöse €11.00m,€5.00m,,,
642,745178,Edan Diop,Central Midfield,"Aug 28, 2004",18,France,AS Monaco,"1,73m",right,"Jul 1, 2022",AS Monaco U21,€2.00m,,"Internal transfer: AS Monaco U21; date: Jul 1, 2023",
643,659518,Félix Lemaréchal,Central Midfield,"Aug 7, 2003",19,France,Cercle Brugge,"1,80m",right,"Jul 27, 2018",AS Monaco U21,€1.00m,,,
644,263918,Aleksandr Golovin,Attacking Midfield,"May 30, 1996",27,Russia,AS Monaco,"1,78m",right,"Jan 1, 2023",CSKA Moscow,€28.00m,,,
645,810895,Eliesse Ben Seghir,Attacking Midfield,"Feb 16, 2005",18,Morocco,AS Monaco,"1,78m",right,"Jul 1, 2022",AS Monaco U21,€18.00m,,,
646,745200,Maghnes Akliouche,Attacking Midfield,"Feb 25, 2002",21,France,AS Monaco,"1,83m",left,"Jul 1, 2018",AS Monaco U21,€6.00m,,,
647,569389,Sofiane Diop,Left Winger,"Jun 9, 2000",23,Morocco,OGC Nice,"1,75m",right,"Jul 1, 2022",Stade Rennais FC B,€15.00m,,,
648,165793,Takumi Minamino,Left Winger,"Jan 16, 1995",28,Japan,AS Monaco,"1,72m",right,"Jan 21, 2021",Liverpool FC,€6.00m,,,
649,490426,Krépin Diatta,Right Winger,"Feb 25, 1999",24,Senegal,AS Monaco,"1,75m",right,"Jul 1, 2019",Club Brugge KV,€15.00m,,,
650,257448,Gelson Martins,Right Winger,"May 11, 1995",28,Portugal,Olympiacos Piraeus,"1,70m",right,"Jul 15, 2022",Atlético de Madrid,€5.00m,"No eligibility - until Jun 30, 2024 - UEFA Europa Conference League",,
651,237662,Breel Embolo,Centre-Forward,"Feb 14, 1997",26,Switzerland,AS Monaco,"1,87m",right,"Aug 14, 2019",Borussia Mönchengladbach,€20.00m,,,
652,146854,Wissam Ben Yedder,Centre-Forward,"Aug 12, 1990",32,France,AS Monaco,"1,70m",both,"Sep 2, 2020",Sevilla FC,€15.00m,Team captain,,
653,82009,Kevin Volland,Centre-Forward,"Jul 30, 1992",30,Germany,1.FC Union Berlin,"1,79m",left,"Aug 4, 2021",Bayer 04 Leverkusen,€8.00m,,,
654,124901,Benjamin Leroy,Goalkeeper,"Apr 7, 1989",34,France,Quevilly - Rouen Métropole,"1,84m",right,"Jul 1, 2018",Dijon FCO,€500k,,,
655,331977,François-Joseph Sollacaro,Goalkeeper,"Mar 21, 1994",29,France,AC Ajaccio,"1,82m",right,"Jul 1, 2018",AC Ajaccio B,€300k,,,
656,855050,Ghjuvanni Quilichini,Goalkeeper,"Sep 1, 2002",20,France,US Avranches,"1,82m",,"Jul 1, 2021",AC Ajaccio U19,€150k,,,
657,388795,Oumar Gonzalez,Centre-Back,"Feb 25, 1998",25,Cameroon,Al-Raed SFC,"1,86m",right,"Jul 1, 2021",FC Chambly Oise,€2.50m,,,
658,569388,Clément Vidal,Centre-Back,"Jun 18, 2000",23,France,AC Ajaccio,"1,81m",right,"Jul 1, 2022",Montpellier HSC,€1.80m,,,
659,413245,Fernand Mayembo,Centre-Back,"Jan 9, 1996",27,Congo,Hapoel Haifa,"1,84m",right,"Jul 26, 2022",Le Havre AC,€600k,,,
660,44421,Cédric Avinel,Centre-Back,"Sep 11, 1986",36,Guadeloupe,AC Ajaccio,"1,87m",right,"Jul 1, 2017",Clermont Foot 63,€250k,,,
661,989817,Anthony Khelifa,Centre-Back,"Sep 20, 2005",17,Algeria,AC Ajaccio B,,,"Jul 1, 2018",,€150k,,,
662,375881,Ismaël Diallo,Left-Back,"Jan 29, 1997",26,Cote d'Ivoire,HNK Hajduk Split,"1,78m",left,"Aug 30, 2022",SC Bastia,€1.50m,,,
663,274484,Youssouf Koné,Left-Back,"Jul 5, 1995",27,Mali,RWD Molenbeek,"1,74m",left,"Oct 12, 2021",Olympique Lyon,€1.50m,,,
664,178540,Chaker Alhadhur,Left-Back,"Dec 4, 1991",31,Comoros,Without Club,"1,72m",right,"Jul 1, 2022",Without Club,€150k,,,
665,726698,Victor Lebas,Left-Back,"Sep 14, 2004",18,Portugal,AC Ajaccio B,,,"Jul 1, 2018",,€50k,,,
666,172153,Mickaël Alphonse,Right-Back,"Jul 12, 1989",33,Guadeloupe,Retired,"1,82m",right,"May 15, 2023",: Ablöse free transfer,€250k,,,
667,57482,Mohamed Youssouf,Right-Back,"Mar 26, 1988",35,Comoros,AC Ajaccio,"1,69m",right,"Jul 1, 2023",APO Levadiakos,€200k,,,
