,id,from,to,date,upcoming,season,marketValue,fee
5,429874,21055,1464,"Jul 1, 2019",False,19/20,,
6,429874,11896,21055,"Jul 1, 2018",False,18/19,,
7,429874,17295,11896,"Jul 1, 2016",False,16/17,,free transfer
8,429874,74938,17295,"Jul 1, 2015",False,15/16,,free transfer
0,445939,82,24,"Jul 1, 2023",False,23/24,€6.00m,free transfer
1,445939,79,82,"Jun 30, 2022",False,21/22,€6.00m,End of loan
2,445939,82,79,"Aug 30, 2021",False,21/22,€2.00m,loan transfer
3,445939,35,82,"Jun 30, 2021",False,20/21,€2.00m,End of loan
4,445939,82,35,"Jan 5, 2021",False,20/21,€400k,"Loan fee:<br /><i class=""normaler-text"">€100k</i>"
5,445939,143,82,"Jul 1, 2020",False,20/21,€125k,
6,445939,18234,143,"Aug 31, 2017",False,17/18,€100k,?
7,445939,45941,18234,"Jul 1, 2016",False,16/17,€25k,
0,709726,24,583,"Jun 30, 2024",True,23/24,€15.00m,End of loan
1,709726,583,24,"Feb 1, 2024",False,23/24,€15.00m,"Loan fee:<br /><i class=""normaler-text"">€3.50m</i>"
2,709726,1421,583,"Jul 1, 2023",False,23/24,€20.00m,€28.50m
3,709726,583,1421,"Jun 30, 2023",False,22/23,€20.00m,End of loan
4,709726,1421,583,"Jul 16, 2022",False,22/23,€28.00m,loan transfer
5,709726,11204,1421,"Jul 1, 2021",False,21/22,€600k,
6,709726,443,11204,"Jun 30, 2021",False,20/21,€600k,End of loan
7,709726,11204,443,"Jan 29, 2021",False,20/21,€400k,loan transfer
8,709726,92744,11204,"Jul 1, 2019",False,19/20,,
9,709726,100155,92744,"Jul 1, 2018",False,18/19,,
0,369567,24,543,"Jun 30, 2024",True,23/24,€5.00m,End of loan
1,369567,543,24,"Jan 7, 2024",False,23/24,€11.00m,loan transfer
2,369567,79,543,"Aug 31, 2022",False,22/23,€25.00m,€18.00m
3,369567,503,79,"Jul 5, 2019",False,19/20,€2.50m,€6.00m
4,369567,4375,503,"Jul 1, 2017",False,17/18,,
5,369567,2890,4375,"Jul 1, 2016",False,16/17,,free transfer
6,369567,18531,2890,"Jul 1, 2014",False,14/15,,free transfer
7,369567,20150,18531,"Mar 17, 2010",False,09/10,,free transfer
8,369567,20261,20150,"Jul 1, 2006",False,06/07,,free transfer
0,867357,177,24,"Oct 5, 2022",False,22/23,,
1,867357,5372,177,"Jul 1, 2022",False,22/23,,
2,867357,21167,5372,"Jul 1, 2021",False,21/22,,?
3,867357,40772,21167,"Jul 1, 2017",False,17/18,,?
0,675535,463,24,"Jul 1, 2023",False,23/24,,free transfer
1,675535,515,463,"Jul 12, 2022",False,22/23,,
2,675535,438,515,"May 31, 2022",False,21/22,€50k,
3,675535,56,438,"Jan 29, 2021",False,20/21,€75k,?
4,675535,4269,56,"Jul 1, 2020",False,20/21,€75k,
5,675535,21073,4269,"Jul 1, 2019",False,19/20,,
6,675535,38753,21073,"Jan 1, 2019",False,18/19,,free transfer
7,675535,38752,38753,"Jul 1, 2018",False,18/19,,
0,257814,79,16,"Jul 1, 2021",False,21/22,€13.00m,€15.00m
1,257814,533,79,"Jul 28, 2020",False,20/21,€4.00m,€7.20m
2,257814,79,533,"Jun 30, 2020",False,19/20,€4.00m,End of loan
3,257814,533,79,"Jul 1, 2019",False,19/20,€6.00m,"Loan fee:<br /><i class=""normaler-text"">€500k</i>"
4,257814,167,533,"Jun 30, 2019",False,18/19,€6.00m,End of loan
5,257814,533,167,"Jan 3, 2019",False,18/19,€1.00m,"Loan fee:<br /><i class=""normaler-text"">€150k</i>"
6,257814,14543,533,"Jul 1, 2016",False,16/17,€25k,€138k
