,competitionID,clubID,seasonID,competitionName,appearances,yellowCards,goalsConceded,cleanSheets,minutesPlayed,redCards,secondYellowCards,goals,id,assists
0,L1,80,2023,Bundesliga,26,5,52,4,2.340',,,,40792,
1,DFB,80,2023,DFB-Pokal,1,,2,,120',,,,40792,
2,L1,80,2022,Bundesliga,34,3,72,5,3.060',,,,40792,
3,DFB,80,2022,DFB-Pokal,3,1,2,2,270',,,,40792,
4,L1,80,2021,Bundesliga,31,2,45,7,2.790',,,,40792,
5,DFB,80,2021,DFB-Pokal,4,,4,1,331',,,,40792,
6,L2,80,2020,2. Bundesliga,30,2,33,11,2.619',,,,40792,
7,DFB,80,2020,DFB-Pokal,2,,2,1,185',1,,,40792,
8,L2,80,2019,2. Bundesliga,32,1,45,8,2.873',,1,,40792,
9,DFB,80,2019,DFB-Pokal,2,,4,,180',,,,40792,
10,L2,80,2018,2. Bundesliga,34,3,50,11,3.060',,,,40792,
11,DFB,80,2018,DFB-Pokal,,,,,,,,,40792,
12,L2,80,2017,2. Bundesliga,26,2,28,7,2.314',,,,40792,
13,DFB,80,2017,DFB-Pokal,1,,2,,90',,,,40792,
14,L2,80,2016,2. Bundesliga,34,3,47,6,3.060',,,,40792,
15,DFB,80,2016,DFB-Pokal,1,,4,,120',,,,40792,
16,L2,80,2015,2. Bundesliga,18,,23,4,1.620',,,,40792,
17,DFB,80,2015,DFB-Pokal,4,,3,3,360',,,,40792,
18,L2,254,2014,2. Bundesliga,29,2,28,12,2.610',,,,40792,
19,DFB,254,2014,DFB-Pokal,1,,4,,90',,,,40792,
20,L2,254,2013,2. Bundesliga,32,2,34,15,2.880',,,,40792,
21,DFB,254,2013,DFB-Pokal,3,,6,,300',,,,40792,
22,L2PO,81,2012,Relegation 2. Bundesliga,2,,2,1,180',,,,40792,
23,L3,81,2012,3. Liga,31,3,21,18,2.678',2,,,40792,
24,NDSP,81,2012,NDS-Pokal,,,,,,,,,40792,
25,L3,81,2011,3. Liga,35,3,32,14,3.150',,,,40792,
26,DFB,81,2011,DFB-Pokal,1,,3,,120',,,,40792,
27,L2PO,81,2010,Relegation 2. Bundesliga,,,,,,,,,40792,
28,L2,81,2010,2. Bundesliga,,,,,,,,,40792,
29,OBLN,890,2010,OL Niedersachsen,4,,1,3,360',,,,40792,
30,DFB,81,2010,DFB-Pokal,,,,,,,,,40792,
31,L3,110,2009,3. Liga,25,5,42,9,2.250',,,,40792,
32,DFB,110,2009,DFB-Pokal,1,,1,,120',,,,40792,
33,L3,110,2008,3. Liga,26,4,37,10,2.340',,,,40792,
34,RS,110,2007,Regionalliga Süd,32,3,35,11,2.880',,,,40792,
35,DFB,110,2007,DFB-Pokal,1,,1,,120',,,,40792,
36,AJ3,8228,2006,U19-Bundesliga S/SW,25,3,38,3,2.174',,,2,40792,
37,L2,110,2006,2. Bundesliga,1,,1,,90',,,,40792,
38,OL0,5137,2006,Oberliga Bayern,7,1,8,1,630',,,,40792,
0,L2,30,2023,2. Bundesliga,,,,,,,,,316983,
1,SEC,1011,2023,Svenska Cupen,,,,,,,,,316983,
2,SE1,1011,2023,Allsvenskan,11,,17,2,975',1,,,316983,
3,L1,80,2022,Bundesliga,,,,,,,,,316983,
4,DFB,80,2022,DFB-Pokal,,,,,,,,,316983,
5,L2,41,2021,2. Bundesliga,7,,5,2,630',,,,316983,
6,DFB,41,2021,DFB-Pokal,,,,,,,,,316983,
7,CLQ,496,2021,Champions League Qu.,,,,,,,,,316983,
8,SE1,496,2021,Allsvenskan,9,,13,,810',,,,316983,
9,SEC,496,2020,Svenska Cupen,3,,4,,270',,,,316983,
10,ELQ,496,2020,Europa League Qualifying,4,,3,3,360',,,,316983,
11,SE1,496,2020,Allsvenskan,16,,18,6,1.440',,,,316983,
12,SEC,496,2019,Svenska Cupen,,,,,,,,,316983,
13,SE1,2719,2020,Allsvenskan,8,1,10,2,720',,,,316983,
14,SEC,2719,2019,Svenska Cupen,2,1,1,1,180',,,,316983,
15,SEC,7009,2019,Svenska Cupen,,,,,,,,,316983,
16,SE2,7009,2019,Superettan,29,2,38,7,2.581',,1,,316983,
17,SE1,701,2018,Allsvenskan,29,,61,1,2.610',,,,316983,
18,SEC,701,2017,Svenska Cupen,2,,2,1,180',,,,316983,
19,RESE,701,2017,Relegation Allsvenskan,2,,1,1,180',,,,316983,
20,SE2,701,2017,Superettan,30,1,32,7,2.700',,,,316983,
21,SEC,701,2016,Svenska Cupen,3,,6,,270',,,,316983,
22,SEC,496,2016,Svenska Cupen,1,,3,,90',,,,316983,
23,SE1,496,2016,Allsvenskan,,,,,,,,,316983,
24,JUSL,7917,2016,U19 Allsvenskan Slutspelet,2,1,3,,180',,,,316983,
25,JUS,7917,2016,U19 Allsvenskan Södra,18,1,20,6,1.620',,,,316983,
26,S21P,8872,2016,U21 Allsvenskan Slutspelet,1,,1,,90',,,,316983,
27,S21S,8872,2016,U21 Allsvenskan Södra,5,,8,2,450',,,,316983,
28,19YL,45506,2015,UEFA Youth League,6,,14,2,540',,,,316983,
29,CLQ,496,2015,Champions League Qu.,1,,,1,40',,,,316983,
30,JUS,7917,2015,U19 Allsvenskan Södra,20,,33,6,1.800',,,,316983,
31,S21P,8872,2015,U21 Allsvenskan Slutspelet,1,,1,,90',,,,316983,
32,S21S,8872,2015,U21 Allsvenskan Södra,3,,8,,270',,,,316983,
33,SE1,496,2015,Allsvenskan,,,,,,,,,316983,
34,19YL,45506,2014,UEFA Youth League,1,,3,,90',,,,316983,
35,SEC,496,2013,Svenska Cupen,,,,,,,,,316983,
36,JUS,7917,2014,U19 Allsvenskan Södra,9,,16,2,810',,,,316983,
37,S21S,8872,2014,U21 Allsvenskan Södra,,,,,,,,,316983,
0,L1,80,2023,Bundesliga,,,,,,,,,61989,
1,DFB,80,2023,DFB-Pokal,,,,,,,,,61989,
2,L1,80,2022,Bundesliga,,,,,,,,,61989,
3,DFB,80,2022,DFB-Pokal,,,,,,,,,61989,
4,L1,80,2021,Bundesliga,3,,7,,270',,,,61989,
5,DFB,80,2021,DFB-Pokal,1,,2,,119',,,,61989,
6,L2,42,2020,2. Bundesliga,29,,46,8,2.610',,,,61989,
7,DFB,42,2020,DFB-Pokal,1,,2,,90',,,,61989,
8,L1,533,2019,Bundesliga,,,,,,,,,61989,
9,DFB,533,2019,DFB-Pokal,,,,,,,,,61989,
10,L2,42,2019,2. Bundesliga,1,,1,,90',,,,61989,
11,DFB,42,2019,DFB-Pokal,,,,,,,,,61989,
12,L1,42,2018,Bundesliga,32,3,66,5,2.880',,,,61989,
13,DFB,42,2018,DFB-Pokal,1,,,1,90',,,,61989,
14,L1,42,2017,Bundesliga,3,,9,,270',,,,61989,
15,DFB,42,2017,DFB-Pokal,1,,1,,90',,,,61989,
16,L1,105,2016,Bundesliga,28,3,50,3,2.485',,,,61989,
17,DFB,105,2016,DFB-Pokal,2,,1,1,180',,,,61989,
18,A1,122,2015,Bundesliga,36,4,40,12,3.240',,,,61989,
19,ofb,122,2015,ÖFB-Cup,3,,3,1,270',,,,61989,
20,ELQ,122,2015,Europa League Qualifying,2,,4,,180',,,,61989,
21,L2,80,2014,2. Bundesliga,16,2,23,3,1.440',,,,61989,
22,DFB,80,2014,DFB-Pokal,,,,,,,,,61989,
23,RLW3,446,2014,Regionalliga West,1,,3,,90',,,,61989,
24,L2,80,2013,2. Bundesliga,4,,4,1,239',,,,61989,
25,RLW3,446,2013,Regionalliga West,12,1,13,2,1.080',,,,61989,
26,DFB,80,2013,DFB-Pokal,,,,,,,,,61989,
27,L2,80,2012,2. Bundesliga,3,1,2,2,270',,,,61989,
28,RLW3,446,2012,Regionalliga West,2,,3,1,180',,,,61989,
29,DFB,80,2012,DFB-Pokal,1,,,1,90',,,,61989,
30,L2,80,2011,2. Bundesliga,1,,2,,90',,,,61989,
31,RL3,446,2011,RL West,6,,11,1,540',,,,61989,
32,DFB,80,2011,DFB-Pokal,,,,,,,,,61989,
33,L1PO,80,2010,Bundesliga Playoffs,,,,,,,,,61989,
34,RL3,446,2010,RL West,17,,30,3,1.530',,,,61989,
35,L2,80,2010,2. Bundesliga,,,,,,,,,61989,
36,DFB,80,2010,DFB-Pokal,,,,,,,,,61989,
37,RL3,446,2009,RL West,16,,11,6,1.370',1,,,61989,
38,RL3,446,2008,RL West,1,,,1,90',,,,61989,
0,RLW3,299,2023,Regionalliga West,9,1,12,3,810',,,,452192,
1,NRPO,299,2023,Niederrheinpokal,2,,5,,240',,,,452192,
2,L1,80,2021,Bundesliga,,,,,,,,,452192,
3,L2,80,2020,2. Bundesliga,,,,,,,,,452192,
4,DFB,80,2020,DFB-Pokal,,,,,,,,,452192,
5,AJ2,3862,2019,U19-Bundesliga West,19,,32,4,1.710',,,,452192,
6,L2,80,2019,2. Bundesliga,,,,,,,,,452192,
7,DFBJ,3862,2019,DFB-Pokal der Junioren,2,,3,,180',,,,452192,
8,AJ2,3862,2018,U19-Bundesliga West,12,,16,4,1.080',,,,452192,
9,DFBJ,3862,2018,DFB-Pokal der Junioren,1,,1,,90',,,,452192,
10,BJ2,21085,2017,U17-Bundesliga West,23,,21,12,2.070',,,,452192,
11,AJ2,3862,2017,U19-Bundesliga West,,,,,,,,,452192,
12,BJ2,21085,2016,U17-Bundesliga West,17,1,14,9,1.489',,,,452192,
13,AJ2,3862,2016,U19-Bundesliga West,,,,,,,,,452192,
0,L1,80,2023,Bundesliga,23,7,,,1.890',,,,343959,
1,DFB,80,2023,DFB-Pokal,1,1,,,120',,,,343959,
2,L1,80,2022,Bundesliga,29,3,,,2.173',,,4,343959,
3,DFB,80,2022,DFB-Pokal,3,,,,199',,,,343959,
4,L1,80,2021,Bundesliga,20,7,,,1.549',,,,343959,
5,DFB,80,2021,DFB-Pokal,2,,,,121',,,,343959,
6,L2,80,2020,2. Bundesliga,8,,,,177',,,,343959,
7,DFB,80,2020,DFB-Pokal,2,1,,,56',,,,343959,
8,BE2,43560,2020,1B Pro League,1,,,,44',,,,343959,
9,DKPL,2414,2019,Superligaen Playoffs,,,,,,,,,343959,
10,DKAR,2414,2019,Superliga Relegation round,2,1,,,32',,,,343959,
11,DKP,2414,2019,Oddset Pokalen,4,,,,227',,,,343959,
12,DK1,2414,2019,Superliga,16,3,,,392',,,,343959,
13,DKRQ,62694,2019,Reserveligaen Spring,1,,,,90',,,,343959,
14,DKRE,62694,2019,Reserveligaen,5,,,,450',,,,343959,
15,SWRP,7918,2018,Nike L. - Rel. Playoff,1,1,,,78',,,,343959,
16,SLMR,7918,2018,Nike Liga - Releg. G.,2,1,,,180',,,,343959,
17,SLO1,7918,2018,Fortuna Liga,12,2,,,1.008',1,,,343959,
18,SKC,7918,2018,Slovnaft Cup,1,1,,,90',,,,343959,
19,ELQ,7918,2018,Europa League Qualifying,1,,,,4',,,,343959,
20,BE1,2282,2017,JPL,,,,,,,,,343959,
21,SER1,6621,2016,Super liga,23,5,,,1.887',,,,343959,
22,SERP,6621,2016,Kup Srbije,3,,,,174',,,,343959,
23,19YL,55953,2016,UEFA Youth League,4,,,,360',,,1,343959,
24,ELQ,6621,2016,Europa League Qualifying,2,,,,105',,,,343959,
25,SER1,6621,2015,Super liga,11,5,,,689',,,,343959,
0,L1,80,2023,Bundesliga,19,3,,,1.505',,,1,118850,1
1,DFB,80,2023,DFB-Pokal,1,,,,120',,,,118850,
2,L1,80,2022,Bundesliga,30,4,,,2.450',,,,118850,1
3,DFB,80,2022,DFB-Pokal,3,,,,251',,,,118850,
4,RU1,121,2021,Premier Liga,18,3,,,1.607',,,1,118850,
5,RUP,121,2021,Russian Cup,1,,,,45',,,,118850,
6,RU1,121,2020,Premier Liga,27,7,,,2.384',,1,3,118850,
7,RUP,121,2020,Russian Cup,2,,,,180',,,,118850,
8,ELQ,121,2020,Europa League Qualifying,1,,,,90',,,,118850,
9,RU1,121,2019,Premier Liga,17,3,,,1.442',,1,1,118850,
10,RUP,121,2019,Russian Cup,1,,,,90',,,,118850,
11,UKRM,660,2018,Premier Liga - Meisterrunde,2,,,,114',,,,118850,
12,UKRM,660,2017,Premier Liga - Meisterrunde,2,,,,134',,,,118850,
13,UKRP,660,2017,Ukrainian Cup,1,,,,90',,,,118850,
14,CL,660,2017,Champions League,8,1,,,664',1,,,118850,
15,UKR1,660,2017,Premier Liga,14,3,,,1.253',,,,118850,1
16,UKRS,660,2017,Ukrainian Super Cup,1,,,,3',,,,118850,
17,UKR1,660,2016,Premier Liga,20,3,,,1.645',,,4,118850,1
18,UKRP,660,2016,Ukrainian Cup,2,,,,90',,,,118850,
19,EL,660,2016,Europa League,6,1,,,492',,,,118850,
20,ELQ,660,2016,Europa League Qualifying,,,,,,,,,118850,
21,CLQ,660,2016,Champions League Qu.,2,,,,210',,,,118850,
22,UKRS,660,2016,Ukrainian Super Cup,1,,,,90',,,,118850,
23,UKRP,660,2015,Ukrainian Cup,5,3,,,450',,,,118850,
24,UKR1,660,2015,Premier Liga,16,3,,,1.260',1,,,118850,
25,EL,660,2015,Europa League,3,,,,181',,,,118850,
26,CL,660,2015,Champions League,1,,,,90',,,,118850,
27,CLQ,660,2015,Champions League Qu.,2,,,,173',,,,118850,
28,UKRS,660,2015,Ukrainian Super Cup,,,,,,,,,118850,
29,UKR1,660,2014,Premier Liga,9,2,,,705',2,,,118850,
30,UKRP,660,2014,Ukrainian Cup,3,,,,270',,,,118850,
31,CL,660,2014,Champions League,1,,,,90',,,,118850,1
32,UKRS,660,2014,Ukrainian Super Cup,,,,,,,,,118850,
33,UKR1,6993,2013,Premier Liga,27,5,,,2.430',,,2,118850,
34,UKRP,6993,2013,Ukrainian Cup,1,,,,90',,,,118850,
35,UKR1,6993,2012,Premier Liga,12,1,,,1.080',,,1,118850,
0,L1,80,2023,Bundesliga,20,8,,,1.553',,,3,413843,3
1,L1,60,2023,Bundesliga,,,,,,,,,413843,
2,L1,80,2022,Bundesliga,13,3,,,730',,,2,413843,
3,DFB,80,2022,DFB-Pokal,,,,,,,,,413843,
4,L1,60,2022,Bundesliga,2,,,,12',,,,413843,
5,EL,60,2022,Europa League,2,1,,,93',,,,413843,
6,DFB,60,2022,DFB-Pokal,1,,,,45',,,,413843,
7,DFB,60,2021,DFB-Pokal,2,,,,134',,,1,413843,
8,L1,60,2021,Bundesliga,12,1,,,308',,,,413843,
9,L3,245,2021,3. Liga,1,1,,,90',,,,413843,
10,L1,60,2020,Bundesliga,24,3,,,1.648',,,,413843,
11,DFB,60,2020,DFB-Pokal,1,,,,90',,,,413843,
12,RLSW,245,2020,Regionalliga Südwest,2,1,,,180',,,,413843,
13,L1,89,2019,Bundesliga,23,6,,,1.943',1,,,413843,
14,DFB,89,2019,DFB-Pokal,4,,,,360',,,1,413843,
15,L1,60,2018,Bundesliga,9,1,,,772',,,,413843,
16,RLSW,245,2018,Regionalliga Südwest,11,4,,,990',,,,413843,
17,RLSW,245,2017,Regionalliga Südwest,35,9,,,3.099',,,3,413843,1
18,AOLB,6830,2016,Aufstiegsr. OL Ba-Wü,2,,,,180',,,,413843,
19,VLBW,6830,2016,VL Württemberg,28,3,,,2.459',,,8,413843,4
20,VLBW,6830,2015,VL Württemberg,29,,,,2.547',,1,3,413843,
0,L1,3,2023,Bundesliga,8,,,,410',,,,110036,
1,DFB,3,2023,DFB-Pokal,,,,,,,,,110036,
2,L1,80,2022,Bundesliga,11,1,,,797',,,,110036,
3,DFB,80,2022,DFB-Pokal,1,,,,26',,,,110036,
4,DFB,89,2022,DFB-Pokal,1,,,,120',,,,110036,
5,L1,89,2021,Bundesliga,7,,,,474',,,,110036,
6,DFB,89,2021,DFB-Pokal,1,,,,90',,,,110036,
7,L1,60,2021,Bundesliga,1,,,,28',,,,110036,
8,DFB,60,2021,DFB-Pokal,,,,,,,,,110036,
9,L1,60,2020,Bundesliga,21,3,,,1.365',,,,110036,
10,DFB,60,2020,DFB-Pokal,2,,,,180',,,,110036,
11,L1,60,2019,Bundesliga,28,3,,,2.434',,,,110036,1
12,DFB,60,2019,DFB-Pokal,2,1,,,210',,,,110036,
13,L1,60,2018,Bundesliga,34,5,,,3.054',,,1,110036,1
14,DFB,60,2018,DFB-Pokal,2,,,,210',,,,110036,
15,L1,3,2017,Bundesliga,31,3,,,2.790',,,1,110036,1
16,DFB,3,2017,DFB-Pokal,3,,,,270',,,,110036,
17,EL,3,2017,Europa League,4,,,,360',,,,110036,
18,L1,3,2016,Bundesliga,32,7,,,2.755',,,,110036,
19,DFB,3,2016,DFB-Pokal,3,,,,195',,,,110036,
20,L1,3,2015,Bundesliga,33,3,,,2.873',,,2,110036,
21,DFB,3,2015,DFB-Pokal,2,,,,180',,,,110036,1
22,L2,2,2014,2. Bundesliga,25,1,,,2.092',,,,110036,
23,RLSW,151,2014,Regionalliga Südwest,1,,,,90',,,,110036,
24,DFB,2,2014,DFB-Pokal,1,,,,120',,,,110036,
25,L2,2,2013,2. Bundesliga,10,1,,,777',,,,110036,
26,DFB,2,2013,DFB-Pokal,4,,,,204',,,,110036,2
27,RLSW,151,2013,Regionalliga Südwest,1,1,,,90',,,,110036,
28,L1PO,2,2012,Bundesliga Playoffs,1,1,,,90',,,,110036,
29,L2,2,2012,2. Bundesliga,28,5,,,2.248',,,,110036,
30,DFB,2,2012,DFB-Pokal,1,1,,,90',,,,110036,
31,L1,2,2011,Bundesliga,1,,,,13',,,,110036,
32,AJ3,2371,2011,U19-Bundesliga S/SW,16,6,,,1.357',,1,,110036,
33,RL3,151,2011,RL West,11,3,,,945',,,,110036,1
34,AJ,2371,2010,U19-Bundesliga Endrunde,3,,,,270',,,,110036,
35,AJ3,2371,2010,U19-Bundesliga S/SW,25,6,,,2.250',,,1,110036,
36,BJ3,21047,2009,U17-Bundesliga South/Southwest,25,6,,,2.226',,,5,110036,
37,BJ3,21047,2008,U17-Bundesliga South/Southwest,5,1,,,416',,,,110036,
0,L1,80,2023,Bundesliga,12,2,,,532',,,,696164,
1,A1EL,4441,2022,Bundesliga EC-Play-off,1,,,,120',,,,696164,
2,A1,4441,2022,Bundesliga,14,1,,,1.255',,,,696164,
3,ofb,4441,2022,ÖFB-Cup,1,,,,120',,,,696164,
4,L1,80,2022,Bundesliga,4,,,,193',,,,696164,
5,AJ2,3862,2021,U19-Bundesliga West,14,2,,,1.238',,,,696164,
6,ALPW,3862,2021,U19 Ligapokal West,3,,,,266',,,,696164,
7,AJ2,3862,2020,U19-Bundesliga West,1,,,,30',,,,696164,
8,BJ2,21085,2019,U17-Bundesliga West,21,,,,1.872',,,2,696164,
0,S1PO,653,2023,SL1 Play-out,2,,,,180',,,,63489,
1,GR1,653,2023,Super League 1,16,3,,,1.145',,,2,63489,
2,GRP,653,2023,Kypello Elladas,4,,,,274',,,,63489,
3,L1,80,2022,Bundesliga,15,2,,,619',,,,63489,
4,DFB,80,2022,DFB-Pokal,1,1,,,90',,,,63489,
5,L1,80,2021,Bundesliga,13,1,,,1.169',,,,63489,
6,DFB,80,2021,DFB-Pokal,2,,,,95',,,,63489,
7,L2,80,2020,2. Bundesliga,9,2,,,696',,,,63489,
8,DFB,80,2020,DFB-Pokal,1,,,,80',,,,63489,
9,L2,80,2019,2. Bundesliga,10,4,,,892',,,,63489,
10,ES2,897,2019,LaLiga SmartBank,17,2,,,1.502',,,,63489,1
11,CDR,897,2019,Copa del Rey,1,,,,120',,,,63489,
12,GR1,2441,2018,Super League,8,,,,720',,,,63489,
13,CL,2441,2018,Champions League,3,1,,,270',,,,63489,
14,GRP,2441,2018,Kypello Elladas,1,,,,90',,,,63489,
15,CLQ,2441,2018,Champions League Qu.,4,,,,360',,,,63489,1
16,GRP,2441,2017,Kypello Elladas,7,1,,,573',,,,63489,
17,GR1,2441,2017,Super League,19,2,,,1.639',,,,63489,
18,EL,2441,2017,Europa League,2,,,,180',,,,63489,
19,GR1,2441,2016,Super League,23,4,,,1.845',,,2,63489,
20,GRP,2441,2016,Kypello Elladas,5,,,,445',,,,63489,
21,ELQ,2441,2016,Europa League Qualifying,1,,,,90',,,,63489,
22,POGR,2441,2015,SL Play-off,2,,,,180',,,,63489,
23,GRP,2441,2015,Kypello Elladas,9,2,,,753',,,,63489,
24,GR1,2441,2015,Super League,19,2,,,1.172',,,,63489,
25,GR2O,2441,2014,FL Play-off,7,,,,419',,,,63489,
26,GR2S,2441,2014,Football League South,17,5,,,1.530',,,2,63489,
27,GRP,2441,2014,Kypello Elladas,8,2,,,720',,,1,63489,
28,GR1,169,2013,Super League,30,4,,,2.419',,1,1,63489,1
29,GRP,169,2013,Kypello Elladas,6,,,,540',,,,63489,
30,GR1,169,2012,Super League,9,,,,740',1,,2,63489,
31,GR2,3396,2011,Football League,17,6,,,1.530',,,1,63489,
32,GRP,3396,2011,Kypello Elladas,2,,,,180',,,,63489,
33,GR2,3984,2010,Football League,14,1,,,1.183',,,2,63489,
34,GR1,6676,2010,Super League,1,,,,67',,,,63489,
35,GR1,6676,2009,Super League,9,1,,,411',,,,63489,
36,GR2,3392,2008,B' Ethniki,22,5,,,1.848',,,1,63489,
37,GRP,3392,2008,Kypello Elladas,1,,,,50',,,,63489,
38,GRP,683,2007,Kypello Elladas,1,,,,24',,,,63489,
39,TDV,7661,2007,Viareggio Cup,2,,,,180',,,,63489,
0,19S2,3862,2022,U19-Sonderspielrunde Hauptr.,1,,,,25',,,,813730,
1,19S1,3862,2022,U19-Sonderspielrunde Vorr.,2,,,,180',,,,813730,
2,AJ2,3862,2022,U19-Bundesliga West,8,2,,,709',,,1,813730,
3,DFBJ,3862,2022,DFB-Pokal der Junioren,1,,,,90',,,1,813730,
4,L1,80,2022,Bundesliga,,,,,,,,,813730,
5,DFB,80,2022,DFB-Pokal,,,,,,,,,813730,
6,AJ2,3862,2021,U19-Bundesliga West,10,2,,,778',,,,813730,
7,ALPW,3862,2021,U19 Ligapokal West,3,,,,250',,,,813730,
8,BJ2,21085,2020,U17-Bundesliga West,4,,,,360',,,1,813730,
0,L1,80,2023,Bundesliga,5,,,,350',,,,154396,
1,DFB,80,2023,DFB-Pokal,,,,,,,,,154396,
2,L1,80,2022,Bundesliga,23,6,,,1.773',,,,154396,
3,DFB,80,2022,DFB-Pokal,2,,,,180',,,,154396,
4,L1,80,2021,Bundesliga,30,4,,,2.566',,,,154396,1
5,DFB,80,2021,DFB-Pokal,4,,,,308',,,,154396,
6,L2,80,2020,2. Bundesliga,32,6,,,2.766',,,2,154396,3
7,DFB,80,2020,DFB-Pokal,3,1,,,300',,,,154396,1
8,L2,80,2019,2. Bundesliga,32,8,,,2.796',,,1,154396,3
9,DFB,80,2019,DFB-Pokal,2,,,,180',,,,154396,
10,L2,80,2018,2. Bundesliga,23,2,,,1.834',,,,154396,3
11,DFB,80,2018,DFB-Pokal,1,,,,13',,,,154396,
12,L2,80,2017,2. Bundesliga,30,5,,,2.510',,,,154396,2
13,DFB,80,2017,DFB-Pokal,2,1,,,180',,,,154396,1
14,L1,533,2016,Bundesliga,,,,,,,,,154396,
15,L1,4795,2015,Bundesliga,1,,,,90',,,,154396,
16,L2,4795,2014,2. Bundesliga,32,5,,,2.872',,,1,154396,1
17,DFB,4795,2014,DFB-Pokal,1,,,,67',,,,154396,
18,L2,4795,2013,2. Bundesliga,27,4,,,2.361',1,,,154396,2
19,DFB,4795,2013,DFB-Pokal,2,1,,,180',,,,154396,
20,A2,541,2012,Erste Liga,30,5,,,2.587',,,1,154396,1
21,ofb,541,2012,ÖFB-Cup,1,,,,120',,,,154396,
22,A2,541,2011,Erste Liga,30,5,,,2.488',,3,,154396,4
23,ofb,541,2011,ÖFB-Cup,4,1,,,360',,,,154396,
24,ofb,541,2010,ÖFB-Cup,4,1,,,299',,,,154396,
25,A2,541,2010,Erste Liga,22,2,,,1.194',1,,1,154396,2
0,L2,4,2023,2. Bundesliga,22,7,,,1.756',,,,231586,1
1,DFB,4,2023,DFB-Pokal,2,1,,,164',,,,231586,
2,L2,4,2022,2. Bundesliga,7,2,,,586',,,,231586,
3,DFB,4,2022,DFB-Pokal,1,1,,,81',,,,231586,
4,L1,80,2022,Bundesliga,2,1,,,58',,,,231586,
5,DFB,80,2022,DFB-Pokal,1,,,,27',,,,231586,
6,L1,3,2021,Bundesliga,11,2,,,472',,,,231586,
7,DFB,3,2021,DFB-Pokal,1,,,,60',,,,231586,
8,RLW3,438,2021,Regionalliga West,3,1,,,225',,,,231586,
9,L1PO,3,2020,Bundesliga Playoffs,1,1,,,45',,,,231586,
10,L1,3,2020,Bundesliga,29,6,,,1.767',,,,231586,1
11,DFB,3,2020,DFB-Pokal,2,,,,191',,,,231586,2
12,L2,42,2019,2. Bundesliga,23,6,,,1.671',,,,231586,
13,RLW3,438,2019,Regionalliga West,1,,,,90',,,,231586,
14,L2,3,2018,2. Bundesliga,18,4,,,1.128',,,,231586,2
15,DFB,3,2018,DFB-Pokal,1,,,,90',,,,231586,2
16,L1,3,2017,Bundesliga,11,,,,827',,,,231586,
17,DFB,3,2017,DFB-Pokal,2,,,,180',,,,231586,
18,EL,3,2017,Europa League,2,,,,180',,,,231586,
19,L1PO,82,2016,Bundesliga Playoffs,,,,,,,,,231586,
20,L1,82,2016,Bundesliga,13,2,,,974',,,,231586,2
21,RLN3,143,2016,Regionalliga Nord,4,1,,,360',,,,231586,
22,L1,82,2015,Bundesliga,,,,,,,,,231586,
23,AJ1,5343,2015,U19-BL N/NE,22,7,,,1.890',1,,,231586,5
24,19YL,50628,2015,UEFA Youth League,6,1,,,540',,,,231586,
25,AJ1,5343,2014,U19-BL N/NE,24,7,,,2.077',,,,231586,5
26,DFBJ,5343,2014,DFB-Jun.-Pokal,2,,,,180',,,,231586,
27,BJ1,21087,2013,U17-BL N/NE,20,4,,,1.723',,,,231586,
28,AJ1,5343,2013,U19-BL N/NE,,,,,,,,,231586,
29,BJ1,21087,2012,U17-BL N/NE,22,3,,,1.834',1,,1,231586,
0,L2,30,2023,2. Bundesliga,7,2,,,363',,,,148967,
1,L1,80,2022,Bundesliga,19,4,,,1.040',,,,148967,2
2,DFB,80,2022,DFB-Pokal,,,,,,,,,148967,
3,L1,80,2021,Bundesliga,24,3,,,1.390',1,,,148967,2
4,DFB,80,2021,DFB-Pokal,2,,,,203',,,,148967,1
5,L1,533,2019,Bundesliga,7,,,,397',,,1,148967,
6,L1,167,2018,Bundesliga,12,1,,,922',,,,148967,
7,DFB,167,2018,DFB-Pokal,2,,,,57',,,,148967,
8,GB1,512,2017,Premier League,5,,,,334',,,,148967,
9,L1,167,2017,Bundesliga,2,,,,31',,,,148967,
10,L1,167,2016,Bundesliga,27,6,,,2.244',,,4,148967,
11,DFB,167,2016,DFB-Pokal,2,,,,180',,,,148967,1
12,L1,167,2015,Bundesliga,11,2,,,685',,,1,148967,1
13,EL,167,2015,Europa League,4,1,,,350',,,,148967,1
14,DFB,167,2015,DFB-Pokal,1,,,,90',,,,148967,
15,DFB,15,2015,DFB-Pokal,,,,,,,,,148967,
16,GB2,931,2014,Championship,38,5,,,3.060',,1,,148967,
17,FAC,931,2014,FA Cup,4,,,,390',,,,148967,1
18,CGB,931,2014,League Cup,2,,,,162',,,,148967,
19,RLW3,211,2013,Regionalliga West,8,4,,,595',,,1,148967,
20,L1,15,2013,Bundesliga,1,,,,7',,,,148967,
21,CL,15,2013,Champions League,,,,,,,,,148967,
22,DFB,15,2013,DFB-Pokal,,,,,,,,,148967,
23,POGR,1091,2012,SL Play-off,3,1,,,101',,,,148967,
24,GR1,1091,2012,Super League,18,3,,,1.023',,1,1,148967,
25,GRP,1091,2012,Kypello Elladas,3,,,,270',,,1,148967,
26,ELQ,1091,2012,Europa League Qualifying,,,,,,,,,148967,
27,POGR,1091,2011,SL Play-off,5,,,,449',,,,148967,2
28,GR1,1091,2011,Super League,11,4,,,783',,,,148967,1
