,competitionID,clubID,seasonID,competitionName,appearances,yellowCards,goalsConceded,cleanSheets,minutesPlayed,id,assists,goals,redCards,secondYellowCards
0,IT1,1025,2023,Serie A,26,2,24,10,2.340',80894,,,,
1,CIT,1025,2023,Italy Cup,2,,,2,210',80894,,,,
2,IT1,1025,2022,Serie A,37,4,49,7,3.330',80894,,,,
3,CIT,1025,2022,Italy Cup,2,,1,1,180',80894,,,,
4,IT1,1025,2021,Serie A,36,4,53,12,3.240',80894,,,,
5,CIT,1025,2021,Italy Cup,1,,5,,90',80894,,,,
6,IT1,1025,2020,Serie A,28,1,46,4,2.520',80894,,,,
7,CIT,1025,2020,Italy Cup,,,,,,80894,,,,
8,IT1,1025,2019,Serie A,37,2,64,2,3.330',80894,,,,
9,CIT,1025,2019,Italy Cup,1,,,1,90',80894,,,,
10,IT1,1025,2018,Serie A,38,1,56,10,3.420',80894,,,,
11,CIT,1025,2018,Italy Cup,1,,,1,90',80894,,,,
12,IT1,12,2017,Serie A,1,,,1,90',80894,,,,
13,CL,12,2017,Champions League,,,,,,80894,,,,
14,CIT,12,2017,Italy Cup,1,,2,,90',80894,,,,
15,IT1,749,2016,Serie A,35,2,56,10,3.150',80894,,,,
16,CIT,749,2016,Italy Cup,,,,,,80894,,,,
17,IT1,749,2015,Serie A,31,2,43,9,2.790',80894,,,,
18,CIT,749,2015,Italy Cup,1,,1,,90',80894,,,,
19,IT1,12,2014,Serie A,3,,5,1,270',80894,,,,
20,EL,12,2014,Europa League,4,,6,,360',80894,,,,
21,CIT,12,2014,Italy Cup,2,,3,,210',80894,,,,
22,CL,12,2014,Champions League,2,,3,,180',80894,,,,
23,IT1,12,2013,Serie A,2,,2,,180',80894,,,,
24,CIT,12,2013,Italy Cup,1,,,1,90',80894,,,,
25,ITJ3,11997,2013,Primavera C,1,,1,,90',80894,,,,
26,PL1,428,2012,Ekstraklasa,29,,29,9,2.610',80894,,,,
27,POPU,428,2012,Fortuna Polish Cup,1,,2,,90',80894,,,,
28,PL1,428,2011,Ekstraklasa,27,1,28,8,2.430',80894,,,,
29,PL2,9239,2010,1 Liga,14,,9,5,1.241',80894,,,,
30,PL2,428,2009,1 Liga,,,,,,80894,,,,
0,IT1,1025,2023,Serie A,4,,1,3,360',390304,,,,
1,CIT,1025,2023,Italy Cup,2,,1,1,210',390304,,,,
2,IT1,1025,2022,Serie A,,,,,,390304,,,,
3,CIT,1025,2022,Italy Cup,,,,,,390304,,,,
4,IT2,1386,2022,Serie B,4,2,5,,360',390304,,,,
5,CIT,1386,2022,Italy Cup,1,,1,,90',390304,,,,
6,IT2,8970,2021,Serie B,27,,30,9,2.430',390304,,,,
7,CIT,8970,2021,Italy Cup,1,,1,,120',390304,,,,
8,IJ1,14848,2020,Primavera 1,1,,1,,90',390304,,,,
9,IT1,1025,2020,Serie A,4,,10,,360',390304,,,,
10,CIT,1025,2020,Italy Cup,,,,,,390304,,,,
11,IT3B,4326,2019,Serie C-B,24,3,25,9,2.160',390304,,,,
12,CILP,4326,2019,Coppa Serie C,1,,,1,90',390304,,,,
13,IT3P,4554,2018,PlayOff Lega Pro,,,,,,390304,,,,
14,IT3B,4554,2018,Serie C-B,1,1,1,,44',390304,,,,
15,CIT,4554,2018,Italy Cup,,,,,,390304,,,,
16,CILP,4554,2018,Coppa Serie C,1,,1,,120',390304,,,,
17,IT1,1025,2017,Serie A,,,,,,390304,,,,
18,IJ1,14848,2017,Primavera 1,24,1,34,5,2.160',390304,,,,
19,TDV,14848,2017,Viareggio Cup,3,,8,,270',390304,,,,
20,CITP,14848,2017,Coppa Primavera,1,,1,,120',390304,,,,
21,IT1,1025,2016,Serie A,,,,,,390304,,,,
22,ITJ3,14848,2016,Primavera C,24,,28,6,2.160',390304,,,,
23,TDV,14848,2016,Viareggio Cup,,,,,,390304,,,,
24,CITP,14848,2016,Coppa Primavera,,,,,,390304,,,,
25,ITJF,49759,2015,Under 17 - Finals,5,,9,,480',390304,,,,
26,ITJ5,49759,2015,Under 17 - B,20,1,23,11,1.800',390304,,,,
27,TDV,14848,2015,Viareggio Cup,,,,,,390304,,,,
0,IT2,5621,2023,Serie B,28,2,33,8,2.445',110925,,,,
1,CIT,5621,2023,Italy Cup,2,,3,,180',110925,,,,
2,IT1,1025,2022,Serie A,1,,,1,90',110925,,,,
3,CIT,1025,2022,Italy Cup,1,,,1,90',110925,,,,
4,IT1,1025,2021,Serie A,2,,2,1,178',110925,,,,
5,CIT,1025,2021,Italy Cup,,,,,,110925,,,,
6,IT2,8970,2020,Serie B,34,,39,11,3.060',110925,,,,
7,CIT,8970,2020,Italy Cup,,,,,,110925,,,,
8,POSB,8970,2019,Serie B Play-off,5,,4,2,480',110925,,,,
9,IT2,8970,2019,Serie B,36,2,35,15,3.117',110925,,,,
10,CIT,8970,2019,Italy Cup,2,,1,1,180',110925,,,,
11,IT1,8970,2018,Serie A,3,,5,1,270',110925,,,,
12,CIT,8970,2018,Italy Cup,,,,,,110925,,,,
13,POSB,8970,2017,Serie B Play-off,,,,,,110925,,,,
14,IT2,8970,2017,Serie B,25,1,27,8,2.205',110925,,,,
15,CIT,8970,2017,Italy Cup,,,,,,110925,,,,
16,POSB,8970,2016,Serie B Play-off,2,,1,1,180',110925,,,,
17,IT2,8970,2016,Serie B,40,7,41,12,3.600',110925,,,,
18,CIT,8970,2016,Italy Cup,1,,2,,90',110925,,,,
19,IT1,8970,2015,Serie A,2,,3,1,120',110925,,,,
20,ES1,714,2015,LaLiga,,,,,,110925,,,,
21,CDR,714,2015,Copa del Rey,2,1,3,,180',110925,,,,
22,IT1,862,2014,Serie A,10,,17,1,900',110925,,,,
23,CIT,862,2014,Italy Cup,1,,1,,90',110925,,,,
24,IT1,1210,2013,Serie A,35,4,69,3,3.150',110925,,,,
25,POSB,6692,2012,Serie B Play-off,2,,5,,180',110925,,,,
26,IT2,6692,2012,Serie B,35,4,39,6,3.150',110925,,,,
27,CIT,6692,2012,Italy Cup,1,,2,,90',110925,,,,
28,IT2,1210,2011,Serie B,34,4,38,6,3.029',110925,,,,
29,CIT,1210,2011,Italy Cup,1,,1,,90',110925,,,,
30,ITJE,5380,2010,Primavera Fase Finale,2,,2,1,240',110925,,,,
31,ITJ2,5380,2010,Primavera B,15,1,14,5,1.272',110925,,,,
32,TDV,5380,2010,Viareggio Cup,7,,1,6,660',110925,,,,
33,IT2,1210,2010,Serie B,,,,,,110925,,,,
34,ITJ1,12813,2010,Primavera A,5,,5,1,450',110925,,,,
35,CIT,1210,2010,Italy Cup,,,,,,110925,,,,
36,IT1,1210,2009,Serie A,1,,4,,90',110925,,,,
37,ITJ1,12813,2009,Primavera A,15,,27,2,1.350',110925,,,,
38,TDV,12813,2009,Viareggio Cup,1,,4,,90',110925,,,,
39,ITJ1,12813,2008,Primavera A,17,1,26,3,1.530',110925,,,,
0,IT1,1025,2023,Serie A,,,,,,818892,,,,
1,IJ1,14848,2023,Primavera 1,14,,27,2,1.260',818892,,,,
2,CIT,1025,2023,Italy Cup,,,,,,818892,,,,
3,CITP,14848,2023,Coppa Primavera,1,,1,,90',818892,,,,
4,IJ1,14848,2022,Primavera 1,17,1,25,4,1.530',818892,,,,
5,IT1,1025,2022,Serie A,,,,,,818892,,,,
6,CITP,14848,2022,Coppa Primavera,2,,3,,210',818892,,,,
7,CIT,1025,2022,Italy Cup,,,,,,818892,,,,
8,IT18,91714,2021,Under 18 - Finals,2,,2,1,180',818892,,,,
9,IT1,1025,2021,Serie A,1,,,1,2',818892,,,,
10,IJ1,14848,2021,Primavera 1,32,2,46,10,2.880',818892,,,,
11,ITJF,49759,2020,Under 17 - Finals,2,,4,,180',818892,,,,
12,IJ1,14848,2020,Primavera 1,,,,,,818892,,,,
13,CITP,14848,2020,Coppa Primavera,,,,,,818892,,,,
14,ITJ4,49759,2020,Under 17 - A,,,,,,818892,,,,
0,IT4E,4333,2023,Serie D - E,29,2,28,9,2.610',937891,,,,
1,ITC4,4333,2023,Coppa Serie D,3,,4,1,270',937891,,,,
2,IJ1,14848,2022,Primavera 1,,,,,,937891,,,,
3,ITJ7,91714,2022,Under 18 - A,17,,34,3,1.530',937891,,,,
4,TDV,91714,2022,Viareggio Cup,2,,2,,210',937891,,,,
5,IT1,1025,2022,Serie A,,,,,,937891,,,,
6,CIT,1025,2022,Italy Cup,,,,,,937891,,,,
7,ITJ7,91714,2021,Under 18,1,,,1,5',937891,,,,
8,TDV,91714,2021,Viareggio Cup,1,,,1,90',937891,,,,
9,IJ1,14848,2021,Primavera 1,,,,,,937891,,,,
10,ITJ4,49759,2021,Under 17 - A,,,,,,937891,,,,
0,IT1,1025,2023,Serie A,21,,,,1.492',413565,,,,
1,CIT,1025,2023,Italy Cup,2,,,,186',413565,,,,
2,IT1,1025,2022,Serie A,33,8,,,2.901',413565,2,,,
3,CIT,1025,2022,Italy Cup,1,,,,44',413565,,,,
4,BE1,1184,2022,JPL,3,,,,270',413565,,,,
5,POBE,1184,2021,JPL Playoff II,5,,,,362',413565,,,,
6,BE1,1184,2021,JPL,24,3,,,1.861',413565,,1,,
7,EL,1184,2021,Europa League,5,1,,,404',413565,,,,
8,CCB,1184,2021,Croky Cup,1,,,,120',413565,,,,
9,CLQ,1184,2021,Champions League Qu.,2,1,,,158',413565,,,,
10,EJPL,1184,2020,JPL Play-Offs I,6,1,,,469',413565,,,,
11,CCB,1184,2020,Croky Cup,3,,,,251',413565,,,1,
12,BE1,1184,2020,JPL,32,6,,,2.839',413565,,,,
13,BE1,1184,2019,JPL,22,2,,,1.919',413565,1,1,,
14,CL,1184,2019,Champions League,6,1,,,540',413565,,1,,
15,CCB,1184,2019,Croky Cup,1,,,,120',413565,,,,
16,BESC,1184,2019,Pro L. Supercup,,,,,,413565,,,,
17,EJPL,1184,2018,JPL Play-Offs I,7,1,,,557',413565,1,,,
18,BE1,1184,2018,JPL,10,,,,830',413565,,,,
19,EL,1184,2018,Europa League,3,1,,,270',413565,,,,
20,CCB,1184,2018,Croky Cup,2,1,,,180',413565,,,,
21,ELQ,1184,2018,Europa League Qualifying,5,,,,450',413565,,,,
22,COLF,9961,2018,Fase Final LBD I,2,,,,180',413565,,,,
23,CS,9961,2018,Copa Sudamericana,2,,,,180',413565,,,,
24,COLP,9961,2018,Liga Águila I,16,1,,,1.440',413565,,,,
25,COL1,9961,2017,Liga DIMAYOR II,8,1,,,694',413565,,,,
26,COPO,9961,2017,Copa Águila,7,,,,630',413565,,,,
27,CS,9961,2017,Copa Sudamericana,1,,,,24',413565,,,,
28,COLF,9961,2017,Fase Final LBD I,1,,,,27',413565,,,,
29,COLP,9961,2017,Liga Águila I,2,,,,64',413565,,,,
30,COL1,9961,2016,Liga DIMAYOR II,3,1,,,270',413565,,,,
31,CLI,9961,2016,Libertadores,1,,,,90',413565,,,,
32,COLP,9961,2016,Liga Águila I,1,,,,90',413565,,,,
33,COSP,9961,2016,Superliga Águila de Campeones,1,,,,90',413565,,,,
34,COLO,9961,2015,Fase Final LP II,2,,,,180',413565,,,,
35,COL1,9961,2015,Liga Postobón II,6,1,,,540',413565,,,,
0,MLS1,4078,2024,MLS,,,,,,657742,,,,
1,UCOL,419,2023,Conference League,,,,,,657742,,,,
2,KR1,419,2023,SuperSport HNL,1,,,,12',657742,,,,
3,KRC,419,2023,Hrvatski nogometni kup,2,,,,180',657742,,,,
4,IT1,1025,2023,Serie A,,,,,,657742,,,,
5,CIT,1025,2023,Italy Cup,,,,,,657742,,,,
6,IT1,1025,2022,Serie A,10,2,,,685',657742,,,,
7,CIT,1025,2022,Italy Cup,1,1,,,90',657742,,,,
8,URUP,10663,2022,Playoffs Primera Division,1,1,,,90',657742,,,,
9,URUI,10663,2022,Torneo Intermedio,6,2,,,538',657742,,,,
10,URU1,10663,2022,Primera División Apertura,11,4,,,960',657742,1,,,
11,CS,10663,2022,Copa Sudamericana,2,,,,180',657742,,,,
12,URUC,10632,2021,Primera División Clausura,12,3,,,1.080',657742,,,,
13,URU1,10632,2021,Primera División Apertura,13,3,,,1.168',657742,,2,,
14,CLI,10632,2021,Libertadores,5,3,,,425',657742,,,,
15,URUP,866,2020,Playoffs Primera Division,1,,,,59',657742,1,,,
16,URUC,866,2020,Primera División Clausura,,,,,,657742,,,,
0,IT1,1025,2022,Serie A,23,3,,,1.870',126673,,,,1
1,CIT,1025,2022,Italy Cup,3,,,,225',126673,,,,
2,IT1,1025,2021,Serie A,28,6,,,2.267',126673,,,2,
3,CIT,1025,2021,Italy Cup,1,,,,90',126673,1,,,
4,IT1,1025,2020,Serie A,20,4,,,1.754',126673,,1,,
5,FR1,1082,2020,Ligue 1,3,1,,,143',126673,,,,
6,EL,1082,2020,Europa League,2,,,,102',126673,1,,,
7,IT1,252,2019,Serie A,8,2,,,637',126673,,1,,
8,FR1,1082,2019,Ligue 1,6,,,,413',126673,,1,,
9,FRL,1082,2019,Coupe de la Ligue,1,1,,,90',126673,,,,
10,FRC,1082,2019,Coupe de France,2,1,,,180',126673,,,,
11,CL,1082,2019,Champions League,1,,,,89',126673,,,,
12,CN2A,12765,2019,National 2 - Grp. A,1,,,,63',126673,,,,
13,FR1,1082,2018,Ligue 1,20,5,,,1.726',126673,1,,,1
14,FRC,1082,2018,Coupe de France,2,,,,99',126673,,,1,
15,FRL,1082,2018,Coupe de la Ligue,,,,,,126673,,,,
16,FR1,1082,2017,Ligue 1,14,2,,,1.194',126673,,,,
17,FRC,1082,2017,Coupe de France,1,,,,90',126673,,,,
18,FRC,1082,2016,Coupe de France,4,,,,315',126673,,1,,
19,FR1,1082,2016,Ligue 1,27,1,,,2.325',126673,,,1,
20,FRL,1082,2016,Coupe de la Ligue,1,,,,90',126673,,,,
21,ELQ,1082,2016,Europa League Qualifying,1,,,,90',126673,,,,
22,FR1,1082,2015,Ligue 1,28,6,,,2.321',126673,,1,,
23,FRL,1082,2015,Coupe de la Ligue,2,,,,180',126673,,1,,
24,FRC,1082,2015,Coupe de France,1,,,,90',126673,,,,
25,FR1,1082,2014,Ligue 1,1,,,,90',126673,,,,
26,EL,1082,2014,Europa League,,,,,,126673,,,,
27,CLQ,1082,2014,Champions League Qu.,,,,,,126673,,,,
28,FR1,1082,2013,Ligue 1,4,,,,331',126673,,,1,
29,FRC,1082,2013,Coupe de France,2,,,,210',126673,,,,
30,FRL,1082,2013,Coupe de la Ligue,1,,,,120',126673,,,,
31,CL,1082,2012,Champions League,,,,,,126673,,,,
32,CLQ,1082,2012,Champions League Qu.,,,,,,126673,,,,
33,FR1,1082,2011,Ligue 1,,,,,,126673,,,,
0,IT1,8970,2023,Serie A,2,,,,90',247377,,,,
1,CIT,8970,2023,Italy Cup,1,,,,11',247377,,,,
2,IT1,1025,2023,Serie A,1,,,,90',247377,,,,
3,CIT,1025,2023,Italy Cup,2,,,,180',247377,,,,
4,IT1,1025,2022,Serie A,13,2,,,900',247377,,,,
5,CIT,1025,2022,Italy Cup,2,1,,,180',247377,,,,
6,IT1,1025,2021,Serie A,22,2,,,1.208',247377,,,,1
7,CIT,1025,2021,Italy Cup,1,,,,90',247377,1,,,
8,IT1,410,2020,Serie A,30,4,,,2.472',247377,,,,
9,CIT,410,2020,Italy Cup,2,,,,195',247377,,,,
10,IT1,2722,2019,Serie A,14,2,,,1.186',247377,,1,1,
11,IT1,416,2019,Serie A,3,,,,248',247377,,1,,
12,CIT,416,2019,Italy Cup,1,,,,102',247377,,,,
13,ELQ,416,2019,Europa League Qualifying,3,,,,217',247377,,1,,
14,IT1,2722,2018,Serie A,27,2,,,2.303',247377,,2,,
15,CIT,2722,2018,Italy Cup,1,,,,90',247377,,,,
16,IT1,416,2017,Serie A,6,,,,407',247377,,,,
17,CIT,416,2017,Italy Cup,1,,,,90',247377,,,,
18,IT2,2722,2016,Serie B,20,2,,,1.648',247377,,3,,1
19,CIT,2722,2016,Italy Cup,,,,,,247377,,,,
20,IT3C,4106,2015,Lega Pro C,8,,,,497',247377,,1,,2
21,IT3C,4171,2015,Lega Pro C,3,,,,127',247377,,,,
22,CILP,4171,2015,Coppa Lega Pro,2,,,,175',247377,,,,
23,CIT,4171,2015,Italy Cup,,,,,,247377,,,,
24,ITJE,12130,2014,Primavera Fase Finale,1,,,,120',247377,,,,
25,IT1,416,2014,Serie A,,,,,,247377,,,,
26,ITJ1,12130,2014,Primavera A,19,4,,,1.425',247377,,,,
27,TDV,12130,2014,Viareggio Cup,2,,,,180',247377,,,,
28,CITP,12130,2014,Coppa Primavera,,,,,,247377,,,,
29,ITJ1,12863,2013,Primavera A,18,4,,,1.612',247377,,1,,1
30,TDV,12863,2013,Viareggio Cup,3,,,,270',247377,,,,
31,IT2,1387,2013,Serie B,,,,,,247377,,,,
32,CIT,1387,2013,Italy Cup,,,,,,247377,,,,
33,CITP,12863,2013,Coppa Primavera,,,,,,247377,,,,
34,ITJ1,12863,2012,Primavera A,4,,,,174',247377,,,1,
0,BRCF,978,2024,Campeonato Carioca - Final,2,1,,,169',60889,,,,
1,BRC,978,2024,Copa do Brasil,2,1,,,180',60889,,,,
2,BRCG,978,2024,Carioca - Taça Guanabara,6,1,,,499',60889,,,1,
3,BRA1,978,2023,Série A,20,5,,,1.729',60889,,,1,
4,IT1,1025,2022,Serie A,29,5,,,1.477',60889,1,,,
5,CIT,1025,2022,Italy Cup,2,,,,111',60889,,,,
6,IT1,1025,2021,Serie A,33,8,,,2.830',60889,1,,,1
7,CIT,1025,2021,Italy Cup,1,,,,37',60889,,,,
8,IT1,1025,2020,Serie A,11,1,,,510',60889,1,,,
9,CIT,1025,2020,Italy Cup,1,1,,,97',60889,,,,
10,IT1,1025,2019,Serie A,23,10,,,1.796',60889,,,1,
11,CIT,1025,2019,Italy Cup,1,,,,90',60889,,,,
12,TR1,114,2019,Süper Lig,2,,,,129',60889,,,,
13,TR1,114,2018,Süper Lig,24,8,,,1.849',60889,,,,1
14,EL,114,2018,Europa League,5,2,,,450',60889,,,,
15,ELQ,114,2018,Europa League Qualifying,6,1,,,527',60889,,,,
16,TR1,114,2017,Süper Lig,25,9,,,1.996',60889,1,1,,
17,TRP,114,2017,Türkiye Kupasi,7,1,,,616',60889,1,,,
18,CL,114,2017,Champions League,8,1,,,431',60889,,,,
19,IT1,46,2016,Serie A,26,5,,,2.170',60889,,,,
20,CIT,46,2016,Italy Cup,2,1,,,152',60889,,,,
21,EL,46,2016,Europa League,3,2,,,254',60889,,,,
22,IT1,46,2015,Serie A,30,10,,,2.415',60889,1,1,,
23,CIT,46,2015,Italy Cup,4,1,,,375',60889,2,,,
24,IT1,46,2014,Serie A,35,10,,,2.990',60889,2,,,1
25,EL,46,2014,Europa League,7,2,,,571',60889,1,,,
26,CIT,46,2014,Italy Cup,2,1,,,180',60889,,,,
27,GB1,603,2013,Premier League,34,6,,,2.873',60889,1,,,
28,FAC,603,2013,FA Cup,1,,,,45',60889,,,,
29,ES1,368,2012,LaLiga,32,8,,,2.648',60889,3,6,2,1
30,CDR,368,2012,Copa del Rey,7,1,,,578',60889,,1,,1
31,ES1,368,2011,LaLiga,31,15,,,2.632',60889,,2,,1
32,CDR,368,2011,Copa del Rey,4,2,,,332',60889,,,,
33,ELQ,368,2011,Europa League Qualifying,2,1,,,107',60889,,,1,
34,ES1,368,2010,LaLiga,15,6,,,1.303',60889,,,,1
35,EL,368,2010,Europa League,2,,,,134',60889,,,,
36,CDR,368,2010,Copa del Rey,1,,,,4',60889,,,,
37,ARG1,189,2010,Apertura,17,2,,,1.425',60889,,,,1
38,ARGC,189,2009,Clausura,15,3,,,1.207',60889,,4,,1
39,ARG1,189,2009,Apertura,14,6,,,1.137',60889,1,3,1,
40,CS,189,2009,Copa Sudamericana,2,1,,,128',60889,,,,
41,CHL1,3277,2008,Torneo Clausura,2,1,,,180',60889,1,,,
42,CHPL,3277,2009,Torneo Apertura play-offs,4,2,,,345',60889,,1,,
43,CHLA,3277,2008,Torneo Apertura,1,,,,90',60889,,,,
44,CS,3277,2008,Copa Sudamericana,6,2,,,522',60889,1,,,
45,CLI,3277,2008,Libertadores,6,1,,,533',60889,1,1,,
0,IJ1,14848,2023,Primavera 1,20,7,,,1.621',818878,2,2,,
1,IJ1,14848,2022,Primavera 1,16,4,,,1.079',818878,,1,,
2,IT1,1025,2022,Serie A,,,,,,818878,,,,
3,CIT,1025,2022,Italy Cup,,,,,,818878,,,,
4,CITP,14848,2022,Coppa Primavera,1,,,,60',818878,,,,
5,IT18,91714,2021,Under 18 - Finals,2,1,,,180',818878,,,,
6,ITJF,49759,2021,Under 17 - Finals,1,,,,90',818878,,,,
7,IT1,1025,2021,Serie A,1,,,,72',818878,,,,
8,IJ1,14848,2021,Primavera 1,29,8,,,2.441',818878,,2,1,
9,ITJ7,91714,2021,Under 18,3,1,,,224',818878,,,,
10,CIT,1025,2021,Italy Cup,,,,,,818878,,,,
11,ITJP,14848,2020,Play-off/out U19,,,,,,818878,,,,
12,ITJF,49759,2020,Under 17 - Finals,2,1,,,180',818878,,,,
13,ITJ8,49759,2020,Under 17 20/21,6,3,,,518',818878,,,,
14,IT1,1025,2020,Serie A,1,,,,1',818878,,,,
15,ITJ4,49759,2020,Under 17 - A,1,,,,70',818878,,,,
0,IT2,4084,2023,Serie B,14,3,,,693',621122,,,,1
1,CIT,4084,2023,Italy Cup,1,,,,64',621122,,,,
2,IT3P,24898,2022,Playoff Serie C,2,1,,,180',621122,,1,,
3,IT3A,24898,2022,Serie C-A,36,6,,,2.914',621122,,3,1,
4,CILP,24898,2022,Coppa Serie C,4,,,,302',621122,,1,,
5,IT1,1025,2022,Serie A,,,,,,621122,,,,
6,CIT,1025,2022,Italy Cup,,,,,,621122,,,,
7,IT3O,4324,2021,Playout Serie C,2,,,,180',621122,,,,
8,IT3B,4324,2021,Serie C-B,31,10,,,2.660',621122,,7,,
9,CILP,4324,2021,Coppa Serie C,2,,,,180',621122,,,,
10,IT3O,4324,2020,Playout Serie C,2,1,,,180',621122,,,,
11,IT3B,4324,2020,Serie C - B,11,4,,,905',621122,,,,
12,IJ2A,10958,2019,Primavera 2 - A,,,,,,621122,,,,
13,ITJ7,76093,2019,Under 18,10,3,,,684',621122,,2,,
14,ITJF,49752,2018,Under 17 - Finals,3,,,,28',621122,,,,
15,ITJ5,49752,2018,Under 17 - B,16,3,,,1.270',621122,,1,,
16,IJ1,10958,2018,Primavera 1,,,,,,621122,,,,
0,IT3B,41101,2023,Serie C - B,24,3,,,1.805',818882,1,,,
1,CILP,41101,2023,Coppa Serie C,3,1,,,330',818882,,,,
2,CIT,1025,2023,Italy Cup,,,,,,818882,,,,
3,IJ1,14848,2022,Primavera 1,26,6,,,2.252',818882,,1,,
4,CITP,14848,2022,Coppa Primavera,,,,,,818882,,,,
5,CIT,1025,2022,Italy Cup,,,,,,818882,,,,
6,IT1,1025,2021,Serie A,1,,,,44',818882,,,,
7,IJ1,14848,2021,Primavera 1,30,3,,,2.617',818882,1,2,1,
8,ITJ7,91714,2021,Under 18,1,,,,90',818882,,,,
9,CITP,14848,2021,Coppa Primavera,1,,,,74',818882,,,,
10,ITJF,49759,2020,Under 17 - Finals,1,,,,79',818882,,,,1
11,ITJ8,49759,2020,Under 17 20/21,8,3,,,720',818882,1,,,
12,ITJ4,49759,2020,Under 17 - A,4,1,,,360',818882,,,,
0,IT3B,9826,2023,Serie C - B,30,11,,,2.688',659420,,,1,
1,CILP,9826,2023,Coppa Serie C,1,,,,23',659420,,,,
2,IJ1,14848,2022,Primavera 1,30,8,,,2.500',659420,1,1,,
3,CITP,14848,2022,Coppa Primavera,1,1,,,90',659420,,,,
4,IT1,1025,2022,Serie A,,,,,,659420,,,,
5,CIT,1025,2022,Italy Cup,,,,,,659420,,,,
6,IT18,91714,2021,Under 18 - Finals,2,1,,,180',659420,,,,
7,IJ1,14848,2021,Primavera 1,26,7,,,2.031',659420,,,,
8,ITJ7,91714,2021,Under 18,1,,,,45',659420,,,,
9,CITP,14848,2021,Coppa Primavera,1,,,,45',659420,,,,
10,ITJP,14848,2020,Play-off/out U19,1,,,,14',659420,,,,
11,ITJF,49759,2020,Under 17 - Finals,2,,,,180',659420,,,,
12,IJ1,14848,2020,Primavera 1,9,4,,,408',659420,,,,
13,ITJ8,49759,2020,Under 17 20/21,3,,,,179',659420,,1,,
14,CITP,14848,2020,Coppa Primavera,2,,,,210',659420,,1,,
15,ITJ4,49759,2020,Under 17 - A,1,,,,90',659420,,,,
16,ITJ5,49759,2019,Under 17 - B,4,,,,323',659420,,,,
0,CIT,506,2023,Italy Cup,3,,,,183',459658,2,1,,
1,IT1,506,2023,Serie A,27,7,,,1.828',459658,3,2,,
2,IT1,1025,2022,Serie A,32,2,,,2.170',459658,3,,,
3,CIT,1025,2022,Italy Cup,2,,,,99',459658,,,,
4,IT1,252,2021,Serie A,26,3,,,1.790',459658,4,1,,1
5,CIT,252,2021,Italy Cup,2,,,,135',459658,,,,
6,IT2,749,2020,Serie B,7,1,,,147',459658,,,,
7,IJ1,8492,2020,Primavera 1,2,1,,,149',459658,1,,,
8,CIT,749,2020,Italy Cup,2,,,,54',459658,,,,
9,IT3A,2721,2019,Serie C-A,17,4,,,1.316',459658,5,,,
10,CILP,2721,2019,Coppa Serie C,1,,,,4',459658,,,,
11,CIT,2721,2019,Italy Cup,1,,,,24',459658,,,,
12,IT4P,13562,2018,Play-off Serie D,1,,,,90',459658,,,,
13,IT4A,13562,2018,Serie D - A,32,7,,,2.729',459658,6,2,,
14,ITC4,13562,2018,Coppa Serie D,3,,,,86',459658,,,,
15,IT4,56966,2017,Meisterrunde,3,,,,158',459658,,,,
16,IT4E,56966,2017,Serie D - E,21,1,,,1.342',459658,,,,
17,ITJF,49744,2016,Under 17 - Finals,1,,,,62',459658,,,,
18,ITJ4,49744,2016,Under 17 - A,21,,,,1.352',459658,,,,
0,IT1,1025,2023,Serie A,19,1,,,794',136514,1,2,,
1,CIT,1025,2023,Italy Cup,3,1,,,148',136514,,,,
2,IT1,1025,2022,Serie A,21,3,,,1.103',136514,,2,,
3,CIT,1025,2022,Italy Cup,3,,,,270',136514,,,,
4,IT1,1390,2021,Serie A,28,2,,,1.819',136514,,1,,
5,CIT,1390,2021,Italy Cup,2,,,,93',136514,,,,
6,IT1,1390,2020,Serie A,31,6,,,2.433',136514,2,4,,2
7,CIT,1390,2020,Italy Cup,2,,,,27',136514,,,,
8,IT1,1390,2019,Serie A,20,4,,,1.337',136514,1,,,
9,CIT,1390,2019,Italy Cup,3,1,,,270',136514,,,,
10,IT1,1390,2018,Serie A,11,1,,,827',136514,1,,,
11,CIT,1390,2018,Italy Cup,1,,,,90',136514,1,,,
12,IT1,1390,2017,Serie A,11,2,,,685',136514,2,,,
13,A1,122,2017,Bundesliga,17,4,,,1.467',136514,2,2,,
14,ofb,122,2017,ÖFB-Cup,1,,,,90',136514,,,,
15,ELQ,122,2017,Europa League Qualifying,4,1,,,360',136514,,,,
16,A1,122,2016,Bundesliga,34,5,,,3.051',136514,1,3,,1
17,ofb,122,2016,ÖFB-Cup,2,,,,180',136514,2,,,
18,A1,122,2015,Bundesliga,20,4,,,1.717',136514,1,1,,
19,ofb,122,2015,ÖFB-Cup,2,,,,180',136514,,,,
20,ATRM,4443,2015,Regional League Central,1,1,,,59',136514,,,,
21,ELQ,122,2015,Europa League Qualifying,1,,,,45',136514,,,,
22,GR1,5220,2014,Super League,22,9,,,1.918',136514,1,1,,
23,GRP,5220,2014,Kypello Elladas,1,,,,44',136514,,,,
24,GR1,2672,2013,Super League,22,7,,,1.703',136514,,,,
25,GRP,2672,2013,Kypello Elladas,1,,,,44',136514,,,,
26,GRP,683,2012,Kypello Elladas,2,1,,,180',136514,,,,
27,GR20,7661,2012,Super League K20,3,1,,,270',136514,,2,,
