,id,from,to,date,upcoming,season,marketValue,fee
2,191217,11,131,"Sep 1, 2022",False,22/23,€20.00m,free transfer
3,191217,150,11,"Jun 30, 2022",False,21/22,€20.00m,End of loan
4,191217,11,150,"Aug 31, 2021",False,21/22,€25.00m,loan transfer
5,191217,9249,11,"Jul 1, 2014",False,14/15,€500k,
6,191217,1010,9249,"Feb 18, 2014",False,13/14,€500k,End of loan
7,191217,9249,1010,"Nov 22, 2013",False,13/14,€300k,loan transfer
8,191217,5679,9249,"Jul 1, 2012",False,12/13,,
9,191217,14321,5679,"Jul 1, 2011",False,11/12,,€500k
10,191217,70295,14321,"Jul 1, 2010",False,10/11,,
0,65230,131,69261,"Jul 16, 2023",False,23/24,€5.00m,free transfer
1,65230,2464,131,"Jul 1, 2008",False,08/09,,
2,65230,2470,2464,"Jul 1, 2007",False,07/08,,
3,65230,76750,2470,"Jul 1, 2005",False,05/06,,free transfer
0,466806,2464,13222,"Jan 20, 2023",False,22/23,€700k,free transfer
1,466806,2470,2464,"Jul 1, 2020",False,20/21,,
2,466806,39813,2470,"Jul 1, 2018",False,18/19,,
3,466806,14321,39813,"Jul 1, 2017",False,17/18,,
4,466806,70295,14321,"Jul 1, 2016",False,16/17,,
5,466806,14745,70295,"Jul 1, 2015",False,15/16,,€1.00m
0,636695,2470,2464,"Jul 1, 2022",False,22/23,,
1,636695,39813,2470,"Jul 1, 2020",False,20/21,,
2,636695,14321,39813,"Jul 1, 2019",False,19/20,,
3,636695,70295,14321,"Jul 1, 2018",False,18/19,,
4,636695,45258,70295,"Jul 1, 2016",False,16/17,,?
0,937956,39813,2470,"Jul 1, 2023",False,23/24,,
1,937956,14321,39813,"Jul 1, 2022",False,22/23,,
2,937956,70295,14321,"Jul 1, 2021",False,21/22,,
0,683840,472,131,"Jul 31, 2020",False,19/20,€7.20m,End of loan
1,683840,131,472,"Sep 3, 2019",False,19/20,,loan transfer
2,683840,472,131,"Sep 2, 2019",False,19/20,,€22.00m
3,683840,40495,472,"Jul 1, 2019",False,19/20,,
4,683840,77532,40495,"May 20, 2018",False,18/19,,?
0,646740,2470,131,"Jul 1, 2021",False,21/22,,
1,646740,14321,2470,"Jul 1, 2020",False,20/21,,
2,646740,70295,14321,"Jul 1, 2019",False,19/20,,
3,646740,14743,70295,"Jul 1, 2015",False,15/16,,€10k
0,326330,610,131,"Jul 1, 2019",False,19/20,€85.00m,€86.00m
1,326330,8817,610,"Jul 1, 2016",False,16/17,€600k,
2,326330,403,8817,"Dec 31, 2015",False,15/16,€400k,End of loan
3,326330,8817,403,"Aug 23, 2015",False,15/16,€250k,loan transfer
4,326330,403,8817,"Aug 22, 2015",False,15/16,€250k,€7.74m
5,326330,9005,403,"May 1, 2015",False,14/15,,
6,326330,4778,9005,"Feb 1, 2015",False,14/15,,
7,326330,53474,4778,"Sep 1, 2014",False,14/15,,
8,326330,32807,53474,"Jul 1, 2013",False,13/14,,
0,294808,131,18487,"Aug 9, 2023",False,23/24,€25.00m,€12.50m
1,294808,5,131,"Jul 4, 2022",False,22/23,€45.00m,free transfer
2,294808,800,5,"Jul 1, 2019",False,19/20,€33.00m,€32.00m
3,294808,5,800,"Jun 30, 2019",False,18/19,€33.00m,End of loan
4,294808,800,5,"Jul 1, 2017",False,17/18,€20.00m,loan transfer
5,294808,1429,800,"Jun 30, 2016",False,15/16,€4.00m,End of loan
6,294808,800,1429,"Aug 26, 2015",False,15/16,€300k,loan transfer
7,294808,9369,800,"Jul 1, 2015",False,15/16,€300k,€1.50m
8,294808,11998,9369,"Jun 30, 2015",False,14/15,€300k,End of loan
9,294808,9369,11998,"Jan 29, 2015",False,14/15,,loan transfer
0,44162,131,13613,"Sep 7, 2022",False,22/23,€9.50m,free transfer
1,44162,114,131,"Jun 30, 2022",False,21/22,€9.50m,End of loan
2,44162,131,114,"Sep 2, 2021",False,21/22,€20.00m,loan transfer
3,44162,506,131,"Sep 1, 2020",False,20/21,€45.00m,€60.00m
4,44162,12,506,"Jul 1, 2016",False,16/17,€35.00m,€32.00m
5,44162,1041,12,"Aug 31, 2011",False,11/12,€9.00m,€11.00m
6,44162,347,1041,"Jun 6, 2008",False,07/08,€5.50m,€7.50m
7,44162,8179,347,"Jul 1, 2007",False,07/08,,
8,44162,42622,8179,"Jul 1, 2006",False,06/07,,
0,85370,2464,131,"Jul 1, 2013",False,13/14,€7.50m,
1,85370,2470,2464,"Jul 1, 2010",False,10/11,,
2,85370,39813,2470,"Jul 1, 2009",False,09/10,,
3,85370,14321,39813,"Jul 1, 2007",False,07/08,,
4,85370,70295,14321,"Jul 1, 2006",False,06/07,,
5,85370,17419,70295,"Feb 1, 2006",False,05/06,,?
0,720038,12321,131,"Jun 30, 2024",True,23/24,€3.00m,End of loan
1,720038,131,12321,"Jul 18, 2023",False,23/24,€3.00m,loan transfer
2,720038,630,131,"Jul 1, 2022",False,22/23,€3.00m,€5.00m
3,720038,28869,630,"Sep 21, 2020",False,20/21,,
4,720038,14741,28869,"Jul 1, 2019",False,19/20,,
5,720038,77519,14741,"Jul 1, 2015",False,15/16,,?
0,709966,2470,2464,"Jul 1, 2023",False,23/24,€300k,
1,709966,39813,2470,"Jul 1, 2021",False,21/22,,
2,709966,14321,39813,"Jul 1, 2020",False,20/21,,
3,709966,70295,14321,"Jul 1, 2019",False,19/20,,
0,970633,2470,2464,"Jul 1, 2023",False,23/24,,
1,970633,20277,2470,"Jul 23, 2022",False,22/23,,?
2,970633,70218,20277,"Jul 1, 2021",False,21/22,,
0,466810,1237,131,"Jun 30, 2024",True,23/24,€30.00m,End of loan
1,466810,131,1237,"Sep 1, 2023",False,23/24,€35.00m,loan transfer
2,466810,2464,131,"Sep 23, 2020",False,20/21,€50.00m,
3,466810,2470,2464,"Dec 4, 2019",False,19/20,€25.00m,
4,466810,39813,2470,"Jul 1, 2018",False,18/19,,
5,466810,14321,39813,"Jul 1, 2017",False,17/18,,
6,466810,70295,14321,"Jul 1, 2016",False,16/17,,
7,466810,14685,70295,"Jul 1, 2012",False,12/13,,free transfer
